competition_index,model,model_short,elo,avg_utility,num_runs
0.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,71.97988333333335,6
0.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,79.89055977379999,10
0.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,90.27261000000001,10
0.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,92.529764,10
0.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,84.26599999999999,10
0.0,command-r-plus-08-2024,Command R+,1277.0,95.814,10
0.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,94.5011,10
0.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,87.762,10
0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,91.98620000000001,10
0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,94.8923,10
0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,88.72200000000001,10
0.0,qwq-32b,QwQ-32B,1336.0,92.764,10
0.0,gpt-4o-2024-05-13,GPT-4o,1346.0,96.95,10
0.0,deepseek-v3,DeepSeek V3,1359.0,97.3673,10
0.0,o3-mini-high,o3-mini-high,1364.0,96.226,10
0.0,gemma-3-27b-it,Gemma 3 27B,1366.0,89.644615,10
0.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,94.3532,10
0.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,96.806,10
0.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,97.10130000000001,20
0.0,qwen3-max-preview,Qwen3 Max,1435.0,99.354,10
0.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,99.53999999999999,10
0.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,95.23949999999999,20
0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,98.909,10
0.0,gpt-5.4-high,GPT-5.4 High,1485.0,99.89399999999999,10
0.0,gemini-3-pro,Gemini 3 Pro,1486.0,99.99,10
0.0,claude-opus-4-6,Opus 4.6,1503.0,98.7801,20
0.25,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,59.45400000000001,2
0.25,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,61.45,2
0.25,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,70.933575,2
0.25,amazon-nova-micro-v1.0,Nova Micro,1241.0,86.44399999999999,2
0.25,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,76.01500000000001,2
0.25,command-r-plus-08-2024,Command R+,1277.0,85.095,2
0.25,amazon-nova-pro-v1.0,Nova Pro,1290.0,84.8205,2
0.25,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,61.050250000000005,2
0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,92.26000000000002,2
0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,68.939,2
0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,87.22,2
0.25,qwq-32b,QwQ-32B,1336.0,86.1415,2
0.25,gpt-4o-2024-05-13,GPT-4o,1346.0,71.2894,2
0.25,deepseek-v3,DeepSeek V3,1359.0,61.5615025,2
0.25,o3-mini-high,o3-mini-high,1364.0,80.38111,2
0.25,gemma-3-27b-it,Gemma 3 27B,1366.0,42.86088125820001,2
0.25,claude-sonnet-4-20250514,Sonnet 4,1390.0,74.77289999999999,2
