model,model_short,elo_model_name,elo,num_runs,avg_utility,std_utility
llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,18,17.83277777777778,22.33692354365439
llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,18,11.021283944444445,21.15791741630098
llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,18,11.637410877777778,21.648331353289688
amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,18,0.2616666666666666,21.932500047494205
claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,18,21.682011111111112,23.524511148112182
command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,18,23.574596111111113,19.365378073646202
amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,18,36.300358333333335,24.276246791784455
qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,15,36.27333333333333,22.429577694543326
gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,18,22.30188513827778,20.37996859802265
llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,18,28.24772388888889,20.617031864090517
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,18,6.783527277777778,11.574173506553977
qwq-32b,QwQ-32B,qwq-32b,1336,18,31.276274039666667,19.72484766874552
gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,18,28.347464444444444,25.14075380281414
deepseek-v3,DeepSeek V3,deepseek-v3,1358,18,26.721312488888888,24.326909548038323
o3-mini-high,o3-mini-high,o3-mini-high,1363,18,33.925916666666666,19.98499715359416
gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,18,18.67960503888889,24.265459454817492
claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,18,33.79138888888889,20.2110958115665
deepseek-r1,DeepSeek R1,deepseek-r1,1398,18,36.186127605555555,23.510554734209453
claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,18,26.19697222222222,19.45894301719522
deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,18,36.73919888888889,26.02278917430342
qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,18,34.5645,19.658633863041224
gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,18,38.406,26.667357507718016
claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,18,36.84740016666667,18.306679338659745
claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,18,34.92805,21.631396499796054
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,18,35.93344444444445,19.65061599040776
gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,18,40.48233333333334,19.617979984357888
gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,18,35.86602944444444,17.832572598956997
claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,18,34.502538888888886,23.286660406362813
claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,18,35.209137624444445,20.025721973307046
