competition_index,model,model_short,elo_model_name,elo,num_runs,avg_utility,std_utility
0.0,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,10,28.299,23.504672067484798
0.0,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,10,16.6283111,24.494598883916492
0.0,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,10,13.91351,24.236764807640892
0.0,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,10,5.579,27.886648579562227
0.0,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,10,24.98562,20.05747264885584
0.0,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,10,28.90747,17.006957335399534
0.0,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,10,41.21661,21.131224727140165
0.0,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,7,46.142857142857146,14.903772977994258
0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,10,28.4385532489,20.03762684323329
0.0,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,10,35.535303,10.068133298495853
0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,10,8.8103491,11.434057511436494
0.0,qwq-32b,QwQ-32B,qwq-32b,1336,10,40.39,12.380989459651438
0.0,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,10,37.545,22.78418804785459
0.0,deepseek-v3,DeepSeek V3,deepseek-v3,1358,10,30.21836248,23.678583018087163
0.0,o3-mini-high,o3-mini-high,o3-mini-high,1363,10,40.20965,13.505610541641573
0.0,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,10,15.567300000000001,20.663531102161606
0.0,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,10,46.132,12.53354602656407
0.0,deepseek-r1,DeepSeek R1,deepseek-r1,1398,10,43.55192969,18.08832455396993
0.0,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,10,37.549,15.908589158061755
0.0,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,10,40.360058,23.032338028742892
0.0,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,10,37.9961,13.161389246200418
0.0,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,10,45.21,21.18468550628024
0.0,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,10,43.1599,10.311183835525386
0.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,10,40.31049,16.645154861427393
0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,10,44.6196,13.136266647719967
0.0,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,10,44.6762,15.973893231144373
0.0,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,10,45.375,14.43314328204359
0.0,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,10,41.46767,13.549874961050378
0.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,10,42.893,12.672696674346783
0.2,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,19.0,15.0
0.2,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,24.05,6.949999999999999
0.2,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,33.3,16.2
0.2,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,-9.24,2.76
0.2,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,27.5,2.5
0.2,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,23.7575,1.757500000000002
0.2,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,54.0,9.0
0.2,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,30.5,8.5
0.2,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,24.4,22.6
0.2,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,31.9675,21.0325
0.2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
0.2,qwq-32b,QwQ-32B,qwq-32b,1336,2,25.0,6.0
0.2,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,48.14568,10.354319999999998
0.2,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,33.5,19.5
0.2,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,34.505,17.494999999999997
0.2,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,9.829945350000001,8.39505465
0.2,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,35.4025,2.5974999999999966
0.2,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,45.45,4.949999999999999
0.2,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,16.49025,13.20975
0.2,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,67.0,8.0
0.2,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,47.5,5.5
