proposal_family,short_name,focal_model,elo,n_agents,competition_level,num_pairs,mean_utility_advantage_vs_nano
proposal1_invasion,Sonnet 4,claude-sonnet-4-20250514,1389,3,0.0,3,15.61863333333333
proposal1_invasion,DeepSeek R1,deepseek-r1,1398,3,0.0,3,5.666666666666667
proposal1_invasion,Haiku 4.5,claude-haiku-4-5-20251001,1407,3,0.0,3,10.699999999999998
proposal1_invasion,Gemini 2.5 Pro,gemini-2.5-pro,1448,3,0.0,3,18.46333333333333
proposal1_invasion,Opus 4.5,claude-opus-4-5-20251101,1468,3,0.0,3,0.0
proposal1_invasion,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,3,0.0,9,7.772333333333332
proposal1_invasion,Gemini 3 Pro,gemini-3-pro,1486,3,0.0,10,5.4
proposal1_invasion,Opus 4.6,claude-opus-4-6,1499,3,0.0,10,6.495099999999999
proposal1_invasion,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,3,0.0,9,3.4444444444444446
proposal1_invasion,Sonnet 4,claude-sonnet-4-20250514,1389,3,0.5,3,-8.142698433333335
proposal1_invasion,DeepSeek R1,deepseek-r1,1398,3,0.5,3,10.403376029999997
proposal1_invasion,Haiku 4.5,claude-haiku-4-5-20251001,1407,3,0.5,3,19.190670666666666
proposal1_invasion,Gemini 2.5 Pro,gemini-2.5-pro,1448,3,0.5,3,24.10791083333333
proposal1_invasion,Opus 4.5,claude-opus-4-5-20251101,1468,3,0.5,3,-20.216828000000003
proposal1_invasion,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,3,0.5,5,-1.800678000000001
proposal1_invasion,Gemini 3 Pro,gemini-3-pro,1486,3,0.5,3,10.78
proposal1_invasion,Opus 4.6,claude-opus-4-6,1499,3,0.5,9,16.88292222222222
proposal1_invasion,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,3,0.5,7,22.39344428571429
proposal1_invasion,Sonnet 4,claude-sonnet-4-20250514,1389,3,0.9,3,-10.61631
proposal1_invasion,DeepSeek R1,deepseek-r1,1398,3,0.9,3,17.6448483
proposal1_invasion,Haiku 4.5,claude-haiku-4-5-20251001,1407,3,0.9,3,28.82333333333333
proposal1_invasion,Gemini 2.5 Pro,gemini-2.5-pro,1448,3,0.9,3,-2.350255566666663
proposal1_invasion,Opus 4.5,claude-opus-4-5-20251101,1468,3,0.9,3,-11.708789220000003
proposal1_invasion,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,3,0.9,2,-6.731499999999997
proposal1_invasion,Gemini 3 Pro,gemini-3-pro,1486,3,0.9,1,43.7243
proposal1_invasion,Opus 4.6,claude-opus-4-6,1499,3,0.9,6,-8.517907966666666
proposal1_invasion,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,3,0.9,5,4.493026
proposal1_invasion,Sonnet 4,claude-sonnet-4-20250514,1389,3,1.0,3,-10.463672100000002
proposal1_invasion,DeepSeek R1,deepseek-r1,1398,3,1.0,3,-17.217318000000002
proposal1_invasion,Haiku 4.5,claude-haiku-4-5-20251001,1407,3,1.0,3,18.913416666666667
proposal1_invasion,Gemini 2.5 Pro,gemini-2.5-pro,1448,3,1.0,3,22.369645273
proposal1_invasion,Opus 4.5,claude-opus-4-5-20251101,1468,3,1.0,3,5.983048427000001
proposal1_invasion,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,3,1.0,7,-8.418375714285718
proposal1_invasion,Opus 4.6,claude-opus-4-6,1499,3,1.0,6,14.290810833333332
proposal1_invasion,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,3,1.0,3,7.385372999999998
proposal1_invasion,DeepSeek R1,deepseek-r1,1398,5,0.0,1,4.5
proposal1_invasion,Gemini 2.5 Pro,gemini-2.5-pro,1448,5,0.0,1,46.9
proposal1_invasion,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,5,0.0,2,0.0449999999999981
proposal1_invasion,Opus 4.6,claude-opus-4-6,1499,5,0.0,2,-7.5
proposal1_invasion,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,5,0.0,1,-2.6099999999999923
proposal1_invasion,DeepSeek R1,deepseek-r1,1398,5,0.5,1,-9.395999999999994
proposal1_invasion,Haiku 4.5,claude-haiku-4-5-20251001,1407,5,0.5,1,-0.1890810000000016
proposal1_invasion,Opus 4.5,claude-opus-4-5-20251101,1468,5,0.5,1,31.2901
proposal1_invasion,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,5,0.5,1,12.4
