proposal_family,proposal_label,focal_model,short_name,elo,n_agents,competition_level,num_pairs,mean_utility_advantage_vs_nano,std_utility_advantage_vs_nano,mean_focal_utility,mean_control_utility,focal_consensus_rate,control_consensus_rate,mean_focal_final_round,mean_control_final_round
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,0.0,9,7.772333333333332,13.309570124120794,100.0,92.22766666666666,1.0,1.0,1.0,1.6666666666666667
proposal1_invasion,Proposal 1: Invasion Into Nano Population,gemini-3-pro,Gemini 3 Pro,1486,3,0.0,10,5.4,8.822698000045111,100.0,94.6,1.0,1.0,1.0,1.1
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6,Opus 4.6,1499,3,0.0,10,6.495099999999999,14.63257038561578,98.0,91.5049,1.0,1.0,1.2,1.8
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,0.0,9,3.4444444444444446,10.414851693733768,97.77777777777777,94.33333333333333,1.0,1.0,1.2222222222222223,1.3333333333333333
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,0.5,5,-1.8006780000000007,25.828682444846773,53.026272000000006,54.826950000000004,1.0,1.0,3.0,3.4
proposal1_invasion,Proposal 1: Invasion Into Nano Population,gemini-3-pro,Gemini 3 Pro,1486,3,0.5,3,10.78,22.537796402192175,70.18666666666667,59.406666666666666,1.0,1.0,1.6666666666666667,1.6666666666666667
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6,Opus 4.6,1499,3,0.5,9,16.88292222222222,18.108159109563953,71.52222222222223,54.639300000000006,1.0,1.0,1.4444444444444444,3.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,0.5,7,22.39344428571429,16.01740370374305,66.72,44.32655571428572,1.0,1.0,2.2857142857142856,3.7142857142857144
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,0.9,2,-6.731499999999997,15.831499999999998,42.3185,49.05,1.0,1.0,2.5,2.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,gemini-3-pro,Gemini 3 Pro,1486,3,0.9,1,43.7243,0.0,68.0,24.2757,1.0,1.0,1.0,5.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6,Opus 4.6,1499,3,0.9,6,-8.517907966666666,23.58922123963891,42.8121755,51.330083466666665,1.0,1.0,3.6666666666666665,2.6666666666666665
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,0.9,5,4.4930259999999995,12.439654348698921,41.2254,36.732374,1.0,1.0,2.8,4.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,1.0,7,-8.418375714285718,27.696130793318847,35.57645285714286,43.99482857142858,1.0,1.0,3.4285714285714284,3.4285714285714284
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6,Opus 4.6,1499,3,1.0,6,14.290810833333332,11.450229427355895,41.940000000000005,27.64918916666667,1.0,1.0,2.1666666666666665,4.166666666666667
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,1.0,3,7.385372999999998,27.35485262543116,37.5903,30.204927,1.0,1.0,4.0,5.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,5,0.0,2,0.04499999999999815,16.075,45.0,44.955,1.0,1.0,1.0,3.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6,Opus 4.6,1499,5,0.0,2,-7.5,9.5,43.0,50.5,1.0,1.0,1.0,1.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,5,0.5,1,19.4,0.0,41.0,21.6,1.0,1.0,1.0,2.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,5,0.9,2,2.25,1.75,34.25,32.0,1.0,1.0,1.5,1.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,5,0.9,2,0.5600000000000023,15.46,28.46,27.9,1.0,1.0,2.0,2.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,5,0.9,1,-13.499999999999993,0.0,32.400000000000006,45.9,1.0,1.0,3.0,2.0
proposal1_invasion,Proposal 1: Invasion Into Nano Population,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,5,1.0,1,1.0799999999999983,0.0,35.1,34.02,1.0,1.0,2.0,3.0
