model,arena_elo,route,context_used_for_filter
claude-opus-4-6-thinking,1504,Anthropic,1M
claude-opus-4-6,1499,Anthropic,1M
gemini-3-pro,1486,Google,1M
gpt-5.4-high,1484,OpenAI,1.1M
gpt-5.2-chat-latest-20260210,1478,OpenAI,128K
claude-opus-4-5-20251101-thinking-32k,1474,Anthropic,200K
claude-opus-4-5-20251101,1468,Anthropic,200K
gemini-2.5-pro,1448,Google,1M
qwen3-max-preview,1435,OpenRouter,"262,144"
deepseek-r1-0528,1422,OpenRouter,"163,840"
claude-haiku-4-5-20251001,1407,Anthropic,200K
claude-sonnet-4-20250514,1389,Anthropic,1M
gemma-3-27b-it,1365,OpenRouter,"131,072"
o3-mini-high,1363,OpenAI,200K
deepseek-v3,1358,OpenRouter,"163,840"
gpt-4o-2024-05-13,1345,OpenAI,128K
gpt-5-nano-high,1337,OpenAI,128K
qwq-32b,1336,OpenRouter,"131,072"
gpt-4.1-nano-2025-04-14,1322,OpenAI,1M
llama-3.3-70b-instruct,1318,OpenRouter,"131,072"
gpt-4o-mini-2024-07-18,1317,OpenAI,128K
amazon-nova-pro-v1.0,1290,OpenRouter,"300,000"
command-r-plus-08-2024,1276,OpenRouter,"128,000"
claude-3-haiku-20240307,1260,Anthropic,200K
amazon-nova-micro-v1.0,1240,OpenRouter,"128,000"
