n,k,strategy,draw_count,unique_unordered_subsets,stddev_mean,stddev_min,stddev_p05,stddev_p50,stddev_p95,stddev_max,variance_mean,variance_min,variance_p05,variance_p50,variance_p95,variance_max,five_bin_very_low,five_bin_low,five_bin_mid,five_bin_high,five_bin_very_high,tertile_low,tertile_mid,tertile_high
2,1000,five_stratified,1000,268,47.729500,0.500000,5.950000,42.500000,112.000000,132.000000,3334.549750,0.250000,35.450000,1806.250000,12544.000000,17424.000000,200,200,201,199,200,333,358,309
2,1000,pure_random,1000,268,49.497000,0.500000,6.000000,45.000000,107.000000,132.000000,3544.539500,0.250000,36.000000,2025.000000,11449.000000,17424.000000,194,201,176,216,213,330,309,361
2,10000,five_stratified,10000,276,47.912050,0.500000,5.000000,42.500000,109.000000,132.000000,3347.641775,0.250000,25.000000,1806.250000,11881.000000,17424.000000,2000,2000,2042,1958,2000,3362,3388,3250
2,10000,pure_random,10000,276,47.773600,0.500000,5.000000,42.500000,109.000000,132.000000,3359.550150,0.250000,25.000000,1806.250000,11881.000000,17424.000000,2066,1988,1971,1956,2019,3396,3327,3277
4,1000,five_stratified,1000,1000,68.038520,7.790218,31.610323,69.589419,98.749547,121.542945,5041.775375,60.687500,999.212500,4842.687500,9751.475000,14772.687500,200,200,200,200,200,326,340,334
4,1000,pure_random,1000,1000,67.849709,8.466847,31.580649,68.109975,100.014748,121.542945,5034.989438,71.687500,997.337500,4638.968750,10002.965625,14772.687500,199,203,214,186,198,331,345,324
4,10000,five_stratified,10000,10000,67.970432,4.769696,31.034456,68.943364,99.864095,125.961055,5053.051119,22.750000,963.137500,4753.187500,9972.837500,15866.187500,2001,1999,2000,2001,1999,3337,3331,3332
4,10000,pure_random,10000,10000,67.943192,4.769696,31.015067,68.927045,99.975544,125.961055,5051.461775,22.750000,961.934375,4750.937500,9995.109375,15866.187500,2025,1975,2003,2004,1993,3343,3323,3334
6,1000,five_stratified,1000,1000,73.334519,17.792008,49.245858,74.411470,95.538183,108.968905,5597.379611,316.555556,2425.155556,5537.069444,9127.544444,11874.222222,200,200,200,200,200,345,319,336
6,1000,pure_random,1000,1000,73.392579,19.465782,46.063063,74.254628,97.401481,111.886475,5624.853056,378.916667,2121.809722,5513.750000,9487.048611,12518.583333,198,206,192,210,194,327,332,341
6,10000,five_stratified,10000,10000,73.472264,16.489896,47.921927,74.366584,96.538169,114.614814,5621.624953,271.916667,2296.511111,5530.388889,9319.618056,13136.555556,2000,2000,2000,2000,2000,3339,3324,3337
6,10000,pure_random,10000,10000,73.432135,10.735455,47.646485,74.326326,96.571685,115.737730,5617.780342,115.250000,2270.187500,5524.402778,9326.090278,13395.222222,2032,1998,1957,2021,1992,3366,3296,3338
8,1000,five_stratified,1000,1000,75.853284,23.981438,55.538584,76.560993,94.811870,104.478990,5895.611844,575.109375,3084.534375,5861.585938,8989.292969,10915.859375,200,200,200,200,200,338,335,327
8,1000,pure_random,1000,1000,75.239513,32.962099,53.397178,76.134634,93.962821,109.324560,5809.807641,1086.500000,2851.260156,5796.484375,8829.011719,11951.859375,219,200,194,195,192,359,315,326
8,10000,five_stratified,10000,10000,75.908490,23.659036,55.464325,76.520218,94.138491,110.277774,5900.937619,559.750000,3076.291406,5855.343750,8862.055469,12161.187500,2000,2000,2000,2000,2000,3305,3367,3328
8,10000,pure_random,10000,10000,75.825541,29.456536,55.674865,76.516951,94.097107,114.293960,5887.837119,867.687500,3099.690625,5854.843750,8854.265625,13063.109375,2066,1955,1984,1997,1998,3351,3337,3312
10,1000,five_stratified,1000,1000,77.289941,44.091269,60.658176,77.777117,92.385462,105.538666,6067.659240,1944.040000,3679.414500,6049.280000,8535.074500,11138.410000,200,200,200,200,200,328,342,330
10,1000,pure_random,1000,1000,77.443432,47.430475,61.664439,77.760015,92.213208,101.510640,6084.860880,2249.650000,3802.508000,6046.620000,8503.280000,10304.410000,196,219,164,223,198,348,305,347
10,10000,five_stratified,10000,10000,77.304558,33.035738,60.818056,77.739630,92.287670,106.202872,6068.286329,1091.360000,3698.836000,6043.450000,8517.014000,11279.050000,2000,2000,2000,2000,2000,3320,3322,3358
10,10000,pure_random,10000,10000,77.369497,33.351012,60.696738,77.830649,92.386755,105.493175,6079.957909,1112.290000,3684.094000,6057.610000,8535.312500,11128.810000,2029,1988,1989,1874,2120,3350,3275,3375
