game_label,n_agents,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,2,amazon-nova-micro-v1.0,Nova Micro,1240,9,62.44444444444444,18.307929368931323
game1,2,claude-3-haiku-20240307,Claude 3 Haiku,1260,3,59.93000000000001,11.495377331779945
game1,2,command-r-plus-08-2024,Command R+,1276,3,74.59266666666667,17.567178525117043
game1,2,amazon-nova-pro-v1.0,Nova Pro,1290,9,63.76448311111111,31.070969164874263
game1,2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,11,74.76227272727273,19.301467737407478
game1,2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,9,65.48222222222222,33.99234979292318
game1,2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,11,62.05002636363636,23.977418966762155
game1,2,gpt-5-nano-high,GPT-5-nano,1337,7,14.916843,27.047047720680588
game1,2,gpt-4o-2024-05-13,GPT-4o,1345,11,51.48727272727273,28.843664500513487
game1,2,deepseek-v3,DeepSeek V3,1358,11,71.42,19.77431667593093
game1,2,o3-mini-high,o3-mini-high,1363,11,74.14545454545454,31.029771627788808
game1,2,gemma-3-27b-it,Gemma 3 27B,1365,10,77.1746,18.36664266302122
game1,2,claude-sonnet-4-20250514,Sonnet 4,1389,11,68.91363636363636,23.21288533238696
game1,2,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,83.5,19.12241267901796
game1,2,deepseek-r1-0528,DeepSeek R1-0528,1422,7,70.98571428571428,15.239469432084196
game1,2,qwen3-max-preview,Qwen3 Max,1435,5,70.7062,30.16677878395372
game1,2,gemini-2.5-pro,Gemini 2.5 Pro,1448,7,75.88571428571429,17.12575337237543
game1,2,claude-opus-4-5-20251101,Opus 4.5,1468,8,82.4625,23.238449511838894
game1,2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,5,41.4,40.04747183031658
game1,2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,3,57.0,8.879189152169245
game1,2,gpt-5.4-high,GPT-5.4 High,1484,6,54.1115,34.46478018934692
game1,2,gemini-3-pro,Gemini 3 Pro,1486,2,76.5,19.091883092036785
game1,2,claude-opus-4-6,Opus 4.6,1499,7,73.04285714285714,36.37507650131049
game1,4,amazon-nova-micro-v1.0,Nova Micro,1240,15,39.559999999999995,26.504738120893457
game1,4,claude-3-haiku-20240307,Claude 3 Haiku,1260,14,48.79764285714286,32.04051883188666
game1,4,command-r-plus-08-2024,Command R+,1276,8,49.29946,33.046553034706314
game1,4,amazon-nova-pro-v1.0,Nova Pro,1290,9,70.28888888888889,29.656889774740563
game1,4,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,13,39.71172692307692,26.37974387548313
game1,4,llama-3.3-70b-instruct,Llama 3.3 70B,1318,19,44.241894736842106,29.180995539134216
game1,4,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,14,41.80871428571429,26.326092556562642
game1,4,gpt-5-nano-high,GPT-5-nano,1337,10,65.7403,41.03231811376112
game1,4,gpt-4o-2024-05-13,GPT-4o,1345,13,40.91061538461538,29.273635147627463
game1,4,deepseek-v3,DeepSeek V3,1358,12,55.35583333333333,25.81376921452204
game1,4,o3-mini-high,o3-mini-high,1363,25,46.815037832,23.63532791760196
game1,4,gemma-3-27b-it,Gemma 3 27B,1365,15,55.201,29.8085908158801
game1,4,claude-sonnet-4-20250514,Sonnet 4,1389,12,56.05083333333334,26.27303680351375
game1,4,claude-haiku-4-5-20251001,Haiku 4.5,1407,6,45.06666666666666,34.21202517634212
game1,4,deepseek-r1-0528,DeepSeek R1-0528,1422,15,64.02666666666667,31.42772812721428
game1,4,qwen3-max-preview,Qwen3 Max,1435,16,58.7,32.7666293658655
game1,4,gemini-2.5-pro,Gemini 2.5 Pro,1448,4,75.25,32.71467560591118
game1,4,claude-opus-4-5-20251101,Opus 4.5,1468,12,56.625,28.95862644281571
game1,4,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,14,48.04856519285715,27.659646373711123
game1,4,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,13,55.93076923076923,30.3233514148031
game1,4,gpt-5.4-high,GPT-5.4 High,1484,13,57.10691956153846,24.588383168049386
game1,4,claude-opus-4-6,Opus 4.6,1499,11,73.60909090909091,27.144076869381813
game1,4,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,17,67.97058823529412,28.306796107690335
game1,6,amazon-nova-micro-v1.0,Nova Micro,1240,4,31.5,19.9415813481947
game1,6,claude-3-haiku-20240307,Claude 3 Haiku,1260,10,50.39,33.81802445113814
game1,6,command-r-plus-08-2024,Command R+,1276,8,62.575,31.935012134019928
game1,6,amazon-nova-pro-v1.0,Nova Pro,1290,7,45.285714285714285,16.028248872062157
game1,6,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,8,51.325,30.8272027367296
game1,6,llama-3.3-70b-instruct,Llama 3.3 70B,1318,14,50.978571428571435,34.91488945270349
game1,6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,9,51.611111111111114,38.33224636140062
game1,6,gpt-5-nano-high,GPT-5-nano,1337,11,65.78181818181818,27.509737119129955
game1,6,gpt-4o-2024-05-13,GPT-4o,1345,11,76.0909090909091,28.28587826267569
game1,6,deepseek-v3,DeepSeek V3,1358,6,92.66666666666667,17.962924780409974
game1,6,o3-mini-high,o3-mini-high,1363,11,76.60000000000001,24.043627014242258
game1,6,gemma-3-27b-it,Gemma 3 27B,1365,12,54.125,38.160024895170075
game1,6,claude-sonnet-4-20250514,Sonnet 4,1389,8,66.0,28.75512376702877
game1,6,claude-haiku-4-5-20251001,Haiku 4.5,1407,8,58.9375,27.171988596451936
game1,6,deepseek-r1-0528,DeepSeek R1-0528,1422,7,70.62857142857142,25.217038835260727
game1,6,qwen3-max-preview,Qwen3 Max,1435,7,55.44285714285714,23.485730216655472
game1,6,claude-opus-4-5-20251101,Opus 4.5,1468,10,75.1,27.8397796926149
game1,6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,11,75.58181818181818,30.10122317055631
game1,6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,5,67.94,29.679420479517454
game1,6,gpt-5.4-high,GPT-5.4 High,1484,6,68.33333333333333,16.753109164172088
game1,6,claude-opus-4-6,Opus 4.6,1499,13,74.5,20.36131953811769
game1,6,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,6,63.666666666666664,20.38299945215784
