experiment_family,model,model_short,elo,agent_appearances
heterogeneous_random,amazon-nova-micro-v1.0,Nova Micro,1240,14
heterogeneous_random,claude-3-haiku-20240307,Claude 3 Haiku,1260,10
heterogeneous_random,command-r-plus-08-2024,Command R+,1276,10
heterogeneous_random,amazon-nova-pro-v1.0,Nova Pro,1290,18
heterogeneous_random,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,20
heterogeneous_random,llama-3.3-70b-instruct,Llama 3.3 70B,1318,20
heterogeneous_random,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,18
heterogeneous_random,gpt-4o-2024-05-13,GPT-4o,1345,21
heterogeneous_random,deepseek-v3,DeepSeek V3,1358,20
heterogeneous_random,o3-mini-high,o3-mini-high,1363,26
heterogeneous_random,gemma-3-27b-it,Gemma 3 27B,1365,23
heterogeneous_random,claude-sonnet-4-20250514,Sonnet 4,1389,21
heterogeneous_random,claude-haiku-4-5-20251001,Haiku 4.5,1407,10
heterogeneous_random,deepseek-r1-0528,DeepSeek R1-0528,1422,6
heterogeneous_random,qwen3-max-preview,Qwen3 Max,1435,18
heterogeneous_random,gemini-2.5-pro,Gemini 2.5 Pro,1448,2
heterogeneous_random,claude-opus-4-5-20251101,Opus 4.5,1468,17
heterogeneous_random,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,13
heterogeneous_random,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,8
heterogeneous_random,gpt-5.4-high,GPT-5.4 High,1484,6
heterogeneous_random,gemini-3-pro,Gemini 3 Pro,1486,1
heterogeneous_random,claude-opus-4-6,Opus 4.6,1499,17
heterogeneous_random,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,11
homogeneous_adversary,amazon-nova-micro-v1.0,Nova Micro,1240,14
homogeneous_adversary,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,7
homogeneous_adversary,gpt-5-nano,GPT-5-nano,1337,50
homogeneous_adversary,claude-sonnet-4-20250514,Sonnet 4,1389,15
homogeneous_adversary,gemini-2.5-pro,Gemini 2.5 Pro,1448,3
homogeneous_adversary,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,7
homogeneous_control,gpt-5-nano,GPT-5-nano,1337,8
