game_label,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,amazon-nova-micro-v1.0,Nova Micro,1240,14,50.642857142857146,18.506618952551683
game1,claude-3-haiku-20240307,Claude 3 Haiku,1260,10,58.839,27.31459294548937
game1,command-r-plus-08-2024,Command R+,1276,10,67.1378,30.516894038111634
game1,amazon-nova-pro-v1.0,Nova Pro,1290,18,62.92222222222222,26.22671640893636
game1,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,20,58.44425,25.449104072483678
game1,llama-3.3-70b-instruct,Llama 3.3 70B,1318,20,60.766999999999996,33.40214759877763
game1,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,18,53.230555555555554,28.988137223236723
game1,gpt-4o-2024-05-13,GPT-4o,1345,21,52.09809523809523,31.512624076558208
game1,deepseek-v3,DeepSeek V3,1358,20,70.181,21.768617174368483
game1,o3-mini-high,o3-mini-high,1363,26,71.11923076923077,24.81165885999192
game1,gemma-3-27b-it,Gemma 3 27B,1365,23,66.20634782608695,29.130380571443858
game1,claude-sonnet-4-20250514,Sonnet 4,1389,21,66.80238095238094,24.19181925874156
game1,claude-haiku-4-5-20251001,Haiku 4.5,1407,10,65.96000000000001,29.49968738064109
game1,deepseek-r1-0528,DeepSeek R1-0528,1422,6,75.5,30.389142798045487
game1,qwen3-max-preview,Qwen3 Max,1435,18,56.294444444444444,29.52198527164263
game1,gemini-2.5-pro,Gemini 2.5 Pro,1448,2,68.5,17.67766952966369
game1,claude-opus-4-5-20251101,Opus 4.5,1468,17,71.49411764705883,29.166600560149174
game1,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,13,62.50769230769231,28.151094162822567
game1,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,8,58.6,29.720411456486552
game1,gpt-5.4-high,GPT-5.4 High,1484,6,75.08333333333333,25.14043887179909
game1,gemini-3-pro,Gemini 3 Pro,1486,1,63.0,
game1,claude-opus-4-6,Opus 4.6,1499,17,71.63529411764705,24.174468483724482
game1,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,11,68.71818181818182,32.0355058702627
