game_label,n_agents,competition_key,competition_value,adversary_model,adversary_elo,adversary_position,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,2,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,first,2,95.0,7.0710678118654755,95.0,7.0710678118654755,95.0,1.0
game1,2,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,last,2,78.1,23.9002092041053,93.5,4.949747468305833,85.8,1.0
game1,2,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,first,1,100.0,,100.0,,100.0,1.0
game1,2,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,last,1,100.0,,100.0,,100.0,1.0
game1,2,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,first,2,100.0,0.0,100.0,0.0,100.0,1.0
game1,2,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,last,2,100.0,0.0,100.0,0.0,100.0,1.0
game1,2,comp=0.00,0.0,gemini-2.5-pro,1448.0,last,1,100.0,,100.0,,100.0,1.0
game1,2,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,last,1,97.0,,72.0,,84.5,1.0
game1,2,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,first,1,66.0,,95.0,,80.5,1.0
game1,2,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,last,2,91.5,4.949747468305833,77.5,2.1213203435596424,84.5,1.0
game1,2,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,last,1,97.0,,76.0,,86.5,1.0
game1,2,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,first,1,41.0,,57.0,,49.0,1.0
game1,2,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,last,1,80.0,,67.0,,73.5,1.0
game1,2,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,first,2,61.0,0.0,78.0,1.4142135623730951,69.5,1.0
game1,2,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,first,2,69.5,21.920310216782973,72.2,7.353910524340098,70.85,1.0
game1,2,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,last,2,83.0,7.0710678118654755,65.5,3.5355339059327378,74.25,1.0
game1,2,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,first,1,51.0,,76.0,,63.5,1.0
game1,2,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,last,1,68.0,,68.0,,68.0,1.0
game1,2,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,first,1,64.0,,71.0,,67.5,1.0
game1,2,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,last,2,54.0,0.0,72.5,2.1213203435596424,63.25,1.0
game1,2,comp=0.75,0.75,gemini-2.5-pro,1448.0,first,1,77.0,,59.0,,68.0,1.0
game1,2,comp=0.75,0.75,claude-opus-4-6-thinking,1504.0,first,2,76.0,5.656854249492381,51.5,0.7071067811865476,63.75,1.0
game1,2,comp=0.75,0.75,claude-opus-4-6-thinking,1504.0,last,1,77.0,,50.0,,63.5,1.0
game1,2,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,first,2,27.5,34.64823227814083,72.5,34.64823227814083,50.0,1.0
game1,2,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,last,2,19.36,13.633018741276636,71.14,0.1979898987322341,45.25,1.0
game1,2,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,first,1,25.515000000000004,,47.385000000000005,,36.45,1.0
game1,2,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,last,1,40.5,,40.5,,40.5,1.0
game1,2,comp=1.00,1.0,gemini-2.5-pro,1448.0,first,1,62.0,,38.0,,50.0,1.0
game1,2,comp=1.00,1.0,claude-opus-4-6-thinking,1504.0,first,2,56.5,6.363961030678928,43.5,6.363961030678928,50.0,1.0
game1,2,comp=1.00,1.0,claude-opus-4-6-thinking,1504.0,last,2,47.45,2.192031021678301,47.55,4.8790367901871745,47.5,1.0
game1,4,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,last,1,0.0,,100.0,,75.0,1.0
game1,4,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,first,1,100.0,,100.0,,100.0,1.0
