game_label,n_agents,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,2,amazon-nova-micro-v1.0,Nova Micro,1240,8,58.5,14.934236792398488
game1,2,claude-3-haiku-20240307,Claude 3 Haiku,1260,2,53.445,3.457752160002218
game1,2,command-r-plus-08-2024,Command R+,1276,3,74.59266666666667,17.567178525117043
game1,2,amazon-nova-pro-v1.0,Nova Pro,1290,7,73.42857142857143,26.856762915245657
game1,2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,10,72.2385,18.332816363923282
game1,2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,6,74.67333333333333,27.006670780876835
game1,2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,9,69.12777777777778,18.151499784988687
game1,2,gpt-4o-2024-05-13,GPT-4o,1345,11,51.48727272727273,28.843664500513487
game1,2,deepseek-v3,DeepSeek V3,1358,10,72.982,20.115922825242468
game1,2,o3-mini-high,o3-mini-high,1363,10,81.56,19.947609157769037
game1,2,gemma-3-27b-it,Gemma 3 27B,1365,7,83.84285714285714,17.31683738858967
game1,2,claude-sonnet-4-20250514,Sonnet 4,1389,10,71.005,23.35061800276625
game1,2,claude-haiku-4-5-20251001,Haiku 4.5,1407,3,88.33333333333333,20.2072594216369
game1,2,deepseek-r1-0528,DeepSeek R1-0528,1422,3,76.0,20.808652046684813
game1,2,qwen3-max-preview,Qwen3 Max,1435,3,87.06666666666666,22.401190444557475
game1,2,gemini-2.5-pro,Gemini 2.5 Pro,1448,2,68.5,17.67766952966369
game1,2,claude-opus-4-5-20251101,Opus 4.5,1468,6,84.95,25.454567370120436
game1,2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,76.5,19.091883092036785
game1,2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,61.2,
game1,2,gpt-5.4-high,GPT-5.4 High,1484,3,80.5,17.19738352191984
game1,2,gemini-3-pro,Gemini 3 Pro,1486,1,63.0,
game1,2,claude-opus-4-6,Opus 4.6,1499,5,84.46000000000001,20.598737825410566
game1,4,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,49.65,37.163916191201736
game1,4,command-r-plus-08-2024,Command R+,1276,2,65.5,48.79036790187178
game1,4,amazon-nova-pro-v1.0,Nova Pro,1290,1,43.2,
game1,4,llama-3.3-70b-instruct,Llama 3.3 70B,1318,5,38.06,17.361393953251564
game1,4,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,17.25,5.303300858899107
game1,4,gpt-4o-2024-05-13,GPT-4o,1345,2,14.200000000000001,13.010764773832475
game1,4,deepseek-v3,DeepSeek V3,1358,1,54.9,
game1,4,o3-mini-high,o3-mini-high,1363,6,57.550000000000004,26.044097219907623
game1,4,gemma-3-27b-it,Gemma 3 27B,1365,1,25.0,
game1,4,claude-sonnet-4-20250514,Sonnet 4,1389,3,61.93333333333334,33.196586169865924
game1,4,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,46.800000000000004,39.45655839020935
game1,4,deepseek-r1-0528,DeepSeek R1-0528,1422,1,25.0,
game1,4,qwen3-max-preview,Qwen3 Max,1435,5,55.82000000000001,28.891382798336252
game1,4,claude-opus-4-5-20251101,Opus 4.5,1468,5,55.2,27.42453281279373
game1,4,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,55.53333333333333,40.247401572441085
game1,4,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,3,53.666666666666664,42.027768598074935
game1,4,gpt-5.4-high,GPT-5.4 High,1484,2,54.5,31.81980515339464
game1,4,claude-opus-4-6,Opus 4.6,1499,3,63.333333333333336,32.51666239535253
game1,4,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,5,81.2,28.411265371327623
