game_label,competition_key,competition_value,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,comp=0.00,0.0,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,100.0,
game1,comp=0.00,0.0,command-r-plus-08-2024,Command R+,1276,1,100.0,
game1,comp=0.00,0.0,amazon-nova-pro-v1.0,Nova Pro,1290,2,100.0,0.0
game1,comp=0.00,0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,100.0,
game1,comp=0.00,0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1318,2,100.0,0.0
game1,comp=0.00,0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,91.0,12.727922061357855
game1,comp=0.00,0.0,gpt-4o-2024-05-13,GPT-4o,1345,2,100.0,0.0
game1,comp=0.00,0.0,deepseek-v3,DeepSeek V3,1358,2,100.0,0.0
game1,comp=0.00,0.0,o3-mini-high,o3-mini-high,1363,6,100.0,0.0
game1,comp=0.00,0.0,gemma-3-27b-it,Gemma 3 27B,1365,3,100.0,0.0
game1,comp=0.00,0.0,claude-sonnet-4-20250514,Sonnet 4,1389,3,100.0,0.0
game1,comp=0.00,0.0,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,100.0,0.0
game1,comp=0.00,0.0,deepseek-r1-0528,DeepSeek R1-0528,1422,1,100.0,
game1,comp=0.00,0.0,qwen3-max-preview,Qwen3 Max,1435,3,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-5-20251101,Opus 4.5,1468,5,100.0,0.0
game1,comp=0.00,0.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,100.0,
game1,comp=0.00,0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,100.0,
game1,comp=0.00,0.0,gpt-5.4-high,GPT-5.4 High,1484,1,100.0,
game1,comp=0.00,0.0,claude-opus-4-6,Opus 4.6,1499,4,98.25,3.5000000000000013
game1,comp=0.00,0.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,100.0,0.0
game1,comp=0.25,0.25,amazon-nova-micro-v1.0,Nova Micro,1240,2,73.55000000000001,3.4648232278140716
game1,comp=0.25,0.25,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,48.6,
game1,comp=0.25,0.25,command-r-plus-08-2024,Command R+,1276,1,94.0,
game1,comp=0.25,0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,85.5,
game1,comp=0.25,0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,93.0,
game1,comp=0.25,0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,72.0,4.242640687119285
game1,comp=0.25,0.25,gpt-4o-2024-05-13,GPT-4o,1345,1,69.0,
game1,comp=0.25,0.25,deepseek-v3,DeepSeek V3,1358,2,68.95,19.86970055134199
game1,comp=0.25,0.25,o3-mini-high,o3-mini-high,1363,1,53.0,
game1,comp=0.25,0.25,gemma-3-27b-it,Gemma 3 27B,1365,2,81.45,0.6363961030678968
game1,comp=0.25,0.25,claude-sonnet-4-20250514,Sonnet 4,1389,1,93.0,
game1,comp=0.25,0.25,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,74.7,
game1,comp=0.25,0.25,qwen3-max-preview,Qwen3 Max,1435,2,64.6,4.808326112068526
game1,comp=0.25,0.25,claude-opus-4-5-20251101,Opus 4.5,1468,1,58.5,
game1,comp=0.25,0.25,gpt-5.4-high,GPT-5.4 High,1484,1,77.0,
game1,comp=0.25,0.25,claude-opus-4-6,Opus 4.6,1499,1,78.0,
game1,comp=0.25,0.25,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,1,70.0,
game1,comp=0.50,0.5,amazon-nova-micro-v1.0,Nova Micro,1240,2,56.45,2.192031021678301
game1,comp=0.50,0.5,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,55.89,
game1,comp=0.50,0.5,command-r-plus-08-2024,Command R+,1276,2,45.389,20.34911894898647
game1,comp=0.50,0.5,amazon-nova-pro-v1.0,Nova Pro,1290,2,57.6,20.364675298172568
game1,comp=0.50,0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,73.72125,18.432737350974215
game1,comp=0.50,0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,65.0,
game1,comp=0.50,0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,75.0,11.313708498984761
game1,comp=0.50,0.5,gpt-4o-2024-05-13,GPT-4o,1345,1,55.800000000000004,
game1,comp=0.50,0.5,deepseek-v3,DeepSeek V3,1358,2,77.71000000000001,15.966471119192237
game1,comp=0.50,0.5,o3-mini-high,o3-mini-high,1363,1,54.0,
game1,comp=0.50,0.5,gemma-3-27b-it,Gemma 3 27B,1365,1,67.0,
game1,comp=0.50,0.5,claude-sonnet-4-20250514,Sonnet 4,1389,2,65.4,26.304372260139566
game1,comp=0.50,0.5,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,65.0,
game1,comp=0.50,0.5,deepseek-r1-0528,DeepSeek R1-0528,1422,1,63.0,
game1,comp=0.50,0.5,gemini-2.5-pro,Gemini 2.5 Pro,1448,1,81.0,
game1,comp=0.50,0.5,claude-opus-4-5-20251101,Opus 4.5,1468,1,48.6,
game1,comp=0.50,0.5,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,67.5,31.81980515339464
game1,comp=0.50,0.5,gpt-5.4-high,GPT-5.4 High,1484,1,67.5,
game1,comp=0.50,0.5,gemini-3-pro,Gemini 3 Pro,1486,1,63.0,
game1,comp=0.50,0.5,claude-opus-4-6,Opus 4.6,1499,1,52.0,
