game_label,experiment_family,n_agents,competition_key,run_count
game1,heterogeneous_random,2,comp=0.00,19
game1,heterogeneous_random,2,comp=0.25,20
game1,heterogeneous_random,2,comp=0.50,20
game1,heterogeneous_random,2,comp=0.75,20
game1,heterogeneous_random,2,comp=1.00,19
game1,heterogeneous_random,4,comp=0.00,13
game1,heterogeneous_random,4,comp=0.25,19
game1,heterogeneous_random,4,comp=0.50,18
game1,heterogeneous_random,4,comp=0.75,16
game1,heterogeneous_random,4,comp=1.00,19
game1,heterogeneous_random,6,comp=0.00,10
game1,heterogeneous_random,6,comp=0.25,13
game1,heterogeneous_random,6,comp=0.50,13
game1,heterogeneous_random,6,comp=0.75,14
game1,heterogeneous_random,6,comp=1.00,10
game1,heterogeneous_random,8,comp=0.00,2
game1,heterogeneous_random,8,comp=0.25,5
game1,heterogeneous_random,8,comp=0.50,4
game1,heterogeneous_random,8,comp=0.75,2
game1,heterogeneous_random,8,comp=1.00,4
game1,heterogeneous_random,10,comp=0.00,4
game1,heterogeneous_random,10,comp=0.25,1
game1,heterogeneous_random,10,comp=0.50,3
game1,heterogeneous_random,10,comp=0.75,1
game2,heterogeneous_random,2,"rho=-1.000, theta=0.20",20
game2,heterogeneous_random,2,"rho=-1.000, theta=0.80",20
game2,heterogeneous_random,2,"rho=0.900, theta=0.20",20
game2,heterogeneous_random,2,"rho=0.900, theta=0.80",19
game2,heterogeneous_random,4,"rho=-0.320, theta=0.20",18
game2,heterogeneous_random,4,"rho=-0.320, theta=0.80",18
game2,heterogeneous_random,4,"rho=0.900, theta=0.20",19
game2,heterogeneous_random,4,"rho=0.900, theta=0.80",18
game2,heterogeneous_random,6,"rho=-0.191, theta=0.20",17
game2,heterogeneous_random,6,"rho=-0.191, theta=0.80",18
game2,heterogeneous_random,6,"rho=0.900, theta=0.20",17
game2,heterogeneous_random,6,"rho=0.900, theta=0.80",18
game2,heterogeneous_random,8,"rho=-0.137, theta=0.20",14
game2,heterogeneous_random,8,"rho=-0.137, theta=0.80",6
game2,heterogeneous_random,8,"rho=0.900, theta=0.20",13
game2,heterogeneous_random,8,"rho=0.900, theta=0.80",12
game2,heterogeneous_random,10,"rho=-0.106, theta=0.20",9
game2,heterogeneous_random,10,"rho=-0.106, theta=0.80",2
game2,heterogeneous_random,10,"rho=0.900, theta=0.20",14
game2,heterogeneous_random,10,"rho=0.900, theta=0.80",12
game3,heterogeneous_random,2,"sigma=0.20, alpha=0.20",18
game3,heterogeneous_random,2,"sigma=0.20, alpha=0.80",17
game3,heterogeneous_random,2,"sigma=0.50, alpha=0.20",10
game3,heterogeneous_random,2,"sigma=0.50, alpha=0.80",6
