experiment_family,model,model_short,elo,agent_appearances
heterogeneous_random,amazon-nova-micro-v1.0,Nova Micro,1240,158
heterogeneous_random,claude-3-haiku-20240307,Claude 3 Haiku,1260,133
heterogeneous_random,command-r-plus-08-2024,Command R+,1276,123
heterogeneous_random,amazon-nova-pro-v1.0,Nova Pro,1290,106
heterogeneous_random,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,102
heterogeneous_random,llama-3.3-70b-instruct,Llama 3.3 70B,1318,116
heterogeneous_random,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,105
heterogeneous_random,gpt-5-nano-high,GPT-5-nano,1337,71
heterogeneous_random,gpt-4o-2024-05-13,GPT-4o,1345,124
heterogeneous_random,deepseek-v3,DeepSeek V3,1358,111
heterogeneous_random,o3-mini-high,o3-mini-high,1363,122
heterogeneous_random,gemma-3-27b-it,Gemma 3 27B,1365,88
heterogeneous_random,claude-sonnet-4-20250514,Sonnet 4,1389,136
heterogeneous_random,claude-haiku-4-5-20251001,Haiku 4.5,1407,109
heterogeneous_random,deepseek-r1-0528,DeepSeek R1-0528,1422,111
heterogeneous_random,qwen3-max-preview,Qwen3 Max,1435,116
heterogeneous_random,gemini-2.5-pro,Gemini 2.5 Pro,1448,122
heterogeneous_random,claude-opus-4-5-20251101,Opus 4.5,1468,112
heterogeneous_random,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,125
heterogeneous_random,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,127
heterogeneous_random,gpt-5.4-high,GPT-5.4 High,1484,117
heterogeneous_random,gemini-3.1-pro,gemini-3.1-pro,1494,124
heterogeneous_random,claude-opus-4-6,Opus 4.6,1499,130
heterogeneous_random,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,136
