game_label,n_agents,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,2,amazon-nova-micro-v1.0,Nova Micro,1240,16,60.67,17.933603467606094
game1,2,claude-3-haiku-20240307,Claude 3 Haiku,1260,17,67.71764705882353,28.87882518589783
game1,2,command-r-plus-08-2024,Command R+,1276,5,51.2,26.286783751535676
game1,2,amazon-nova-pro-v1.0,Nova Pro,1290,5,53.3,20.628136125205298
game1,2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,5,64.4656,28.81027450060134
game1,2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,8,54.4402625,25.710089847758628
game1,2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,9,52.12821111111111,30.151863291529946
game1,2,gpt-5-nano-high,GPT-5-nano,1337,9,69.12633333333332,35.261555070643155
game1,2,gpt-4o-2024-05-13,GPT-4o,1345,6,59.416666666666664,14.235085762532888
game1,2,deepseek-v3,DeepSeek V3,1358,4,56.025,43.9302761961118
game1,2,o3-mini-high,o3-mini-high,1363,8,78.257067084375,23.231548544286152
game1,2,gemma-3-27b-it,Gemma 3 27B,1365,3,65.93333333333334,10.10016501515363
game1,2,claude-sonnet-4-20250514,Sonnet 4,1389,9,71.03816888888889,21.849720176164983
game1,2,claude-haiku-4-5-20251001,Haiku 4.5,1407,8,72.06625,14.270658146300455
game1,2,deepseek-r1-0528,DeepSeek R1-0528,1422,4,61.5,26.689573494781317
game1,2,qwen3-max-preview,Qwen3 Max,1435,9,77.88133333333333,19.8842445418477
game1,2,gemini-2.5-pro,Gemini 2.5 Pro,1448,7,77.3,14.066627172140452
game1,2,claude-opus-4-5-20251101,Opus 4.5,1468,9,94.33333333333333,10.27131929208707
game1,2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,9,76.58555555555556,15.564812166479161
game1,2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,8,68.78750000000001,20.02715567138065
game1,2,gpt-5.4-high,GPT-5.4 High,1484,10,73.69,16.939398520083945
game1,2,gemini-3.1-pro,gemini-3.1-pro,1494,7,68.80078285714286,20.843953758585652
game1,2,claude-opus-4-6,Opus 4.6,1499,14,82.43571428571428,20.063346110329082
game1,2,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,7,65.01221603214286,28.142706317358485
game1,4,amazon-nova-micro-v1.0,Nova Micro,1240,23,52.89869565217391,31.21268744136354
game1,4,claude-3-haiku-20240307,Claude 3 Haiku,1260,22,40.193045454545455,29.541354826714286
game1,4,command-r-plus-08-2024,Command R+,1276,9,43.035555555555554,35.439372991459344
game1,4,amazon-nova-pro-v1.0,Nova Pro,1290,13,52.33846153846154,24.03728140692906
game1,4,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,9,29.285555555555554,28.95279136418072
game1,4,llama-3.3-70b-instruct,Llama 3.3 70B,1318,10,49.17,35.3571319223969
game1,4,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,13,29.463615384615384,16.970707898898727
game1,4,gpt-5-nano-high,GPT-5-nano,1337,9,43.31111111111111,24.915077987257263
game1,4,gpt-4o-2024-05-13,GPT-4o,1345,13,45.41307692307692,27.976252841953716
game1,4,deepseek-v3,DeepSeek V3,1358,11,50.97818181818182,27.713535255604555
game1,4,o3-mini-high,o3-mini-high,1363,15,49.580000000000005,23.548770061907092
game1,4,gemma-3-27b-it,Gemma 3 27B,1365,12,61.61666666666667,31.759746774045837
game1,4,claude-sonnet-4-20250514,Sonnet 4,1389,17,53.80582352941176,23.379306855195942
game1,4,claude-haiku-4-5-20251001,Haiku 4.5,1407,21,58.161904761904765,25.9273113953313
game1,4,deepseek-r1-0528,DeepSeek R1-0528,1422,14,53.69285714285714,27.118669818913553
game1,4,qwen3-max-preview,Qwen3 Max,1435,8,54.9,33.76168580760488
game1,4,gemini-2.5-pro,Gemini 2.5 Pro,1448,11,60.472727272727276,21.533048595546838
game1,4,claude-opus-4-5-20251101,Opus 4.5,1468,9,50.96322222222222,13.93657045131421
game1,4,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,15,51.24,17.93407769742127
game1,4,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,16,50.268750000000004,27.233893558089214
game1,4,gpt-5.4-high,GPT-5.4 High,1484,18,65.0141111111111,31.65918230501575
game1,4,gemini-3.1-pro,gemini-3.1-pro,1494,13,55.35830769230769,23.03250928356344
game1,4,claude-opus-4-6,Opus 4.6,1499,21,61.05714285714286,27.601387128703724
game1,4,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,18,53.583333333333336,28.51745079771332
game1,6,amazon-nova-micro-v1.0,Nova Micro,1240,16,23.93825,23.8131234616545
game1,6,claude-3-haiku-20240307,Claude 3 Haiku,1260,10,33.7801,28.647763769426906
game1,6,command-r-plus-08-2024,Command R+,1276,19,37.97894736842105,27.068443680323664
game1,6,amazon-nova-pro-v1.0,Nova Pro,1290,12,34.66215425,34.554548084947825
game1,6,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,13,46.31338461538462,33.68900872574135
game1,6,llama-3.3-70b-instruct,Llama 3.3 70B,1318,16,44.223639375,31.569131795381065
game1,6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,17,38.940174647058825,38.16980724851158
game1,6,gpt-5-nano-high,GPT-5-nano,1337,10,58.81,33.74375497777329
game1,6,gpt-4o-2024-05-13,GPT-4o,1345,19,46.70460805263158,34.148820714613734
game1,6,deepseek-v3,DeepSeek V3,1358,14,54.61,33.49194415194381
game1,6,o3-mini-high,o3-mini-high,1363,19,44.76098136842106,33.664506824361546
game1,6,gemma-3-27b-it,Gemma 3 27B,1365,16,45.9197406875,38.17100952031381
game1,6,claude-sonnet-4-20250514,Sonnet 4,1389,21,53.62380952380952,33.18824949830745
game1,6,claude-haiku-4-5-20251001,Haiku 4.5,1407,7,28.898571428571426,15.051622757000244
game1,6,deepseek-r1-0528,DeepSeek R1-0528,1422,12,42.833333333333336,24.719309100867736
game1,6,qwen3-max-preview,Qwen3 Max,1435,14,36.24285714285714,14.866416167668978
game1,6,gemini-2.5-pro,Gemini 2.5 Pro,1448,16,25.82125,15.773869478771955
game1,6,claude-opus-4-5-20251101,Opus 4.5,1468,11,51.27272727272727,27.882219815111245
game1,6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,16,42.6625,23.014977007737084
game1,6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,19,56.94736842105263,27.385060169147643
game1,6,gpt-5.4-high,GPT-5.4 High,1484,15,42.025666666666666,25.70732850394074
game1,6,gemini-3.1-pro,gemini-3.1-pro,1494,14,53.137142857142855,27.67946626557767
game1,6,claude-opus-4-6,Opus 4.6,1499,13,43.50769230769231,17.888239224811997
game1,6,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,21,54.94409523809524,23.961316495353
game1,8,amazon-nova-micro-v1.0,Nova Micro,1240,8,21.4375,32.550573288785124
game1,8,claude-3-haiku-20240307,Claude 3 Haiku,1260,6,23.983333333333334,12.7237442078449
game1,8,command-r-plus-08-2024,Command R+,1276,4,25.725,21.45
game1,8,amazon-nova-pro-v1.0,Nova Pro,1290,2,78.0,31.11269837220809
game1,8,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,7,29.614285714285717,21.693580353907205
game1,8,llama-3.3-70b-instruct,Llama 3.3 70B,1318,7,43.300000000000004,39.14907406312441
game1,8,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,4,11.3,5.226853738148793
game1,8,gpt-5-nano-high,GPT-5-nano,1337,2,56.5,61.518289963229634
game1,8,gpt-4o-2024-05-13,GPT-4o,1345,6,58.916666666666664,23.69864271781543
game1,8,deepseek-v3,DeepSeek V3,1358,8,47.4,34.66917115495305
game1,8,o3-mini-high,o3-mini-high,1363,8,43.125,30.38640438466802
game1,8,gemma-3-27b-it,Gemma 3 27B,1365,3,60.166666666666664,35.589090088583795
game1,8,claude-sonnet-4-20250514,Sonnet 4,1389,3,33.833333333333336,10.351006392295062
game1,8,claude-haiku-4-5-20251001,Haiku 4.5,1407,3,23.266666666666666,9.75773197691622
game1,8,deepseek-r1-0528,DeepSeek R1-0528,1422,7,31.585714285714285,18.888482255193555
game1,8,qwen3-max-preview,Qwen3 Max,1435,4,38.775,33.166285592450656
game1,8,gemini-2.5-pro,Gemini 2.5 Pro,1448,8,39.3625,27.66276184434849
game1,8,claude-opus-4-5-20251101,Opus 4.5,1468,4,53.4,33.16785592507701
game1,8,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,5,50.42,30.70231261647891
game1,8,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,5,43.739999999999995,37.31002546233385
game1,8,gpt-5.4-high,GPT-5.4 High,1484,6,23.916666666666668,17.688913665532617
game1,8,gemini-3.1-pro,gemini-3.1-pro,1494,9,47.62222222222223,28.424847307319776
game1,8,claude-opus-4-6,Opus 4.6,1499,8,41.225,19.91107014416137
game1,8,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,9,39.43333333333333,30.115818102784456
game1,10,amazon-nova-micro-v1.0,Nova Micro,1240,5,9.2,8.167006795638168
game1,10,claude-3-haiku-20240307,Claude 3 Haiku,1260,3,8.666666666666666,8.504900548115382
game1,10,command-r-plus-08-2024,Command R+,1276,1,13.0,
game1,10,amazon-nova-pro-v1.0,Nova Pro,1290,3,51.0,42.43819034784589
game1,10,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,63.5,42.17819341792628
game1,10,llama-3.3-70b-instruct,Llama 3.3 70B,1318,4,59.25,47.14074670600796
game1,10,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,4,5.75,7.135591542869214
game1,10,gpt-5-nano-high,GPT-5-nano,1337,4,85.0,30.0
game1,10,gpt-4o-2024-05-13,GPT-4o,1345,5,41.8,35.89150317275664
game1,10,deepseek-v3,DeepSeek V3,1358,5,65.0,34.08812109811862
game1,10,o3-mini-high,o3-mini-high,1363,4,81.75,36.5
game1,10,gemma-3-27b-it,Gemma 3 27B,1365,2,53.5,65.76093065034893
game1,10,claude-sonnet-4-20250514,Sonnet 4,1389,2,100.0,0.0
game1,10,claude-haiku-4-5-20251001,Haiku 4.5,1407,3,77.66666666666667,38.68246803570493
game1,10,deepseek-r1-0528,DeepSeek R1-0528,1422,6,69.0,34.21110930677344
game1,10,qwen3-max-preview,Qwen3 Max,1435,4,65.0,40.8166632639171
game1,10,gemini-2.5-pro,Gemini 2.5 Pro,1448,3,76.0,41.569219381653056
game1,10,claude-opus-4-5-20251101,Opus 4.5,1468,4,74.0,32.424270744819125
game1,10,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,64.66666666666667,31.6280466253187
game1,10,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,3,78.33333333333333,37.52776749732568
game1,10,gpt-5.4-high,GPT-5.4 High,1484,2,31.0,7.0710678118654755
game1,10,gemini-3.1-pro,gemini-3.1-pro,1494,6,72.33333333333333,31.09126351029605
game1,10,claude-opus-4-6,Opus 4.6,1499,4,52.25,32.3972735478363
game1,10,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,6,58.5,34.944241299533175
game2,2,amazon-nova-micro-v1.0,Nova Micro,1240,12,72.64472500000001,20.21870286142039
game2,2,claude-3-haiku-20240307,Claude 3 Haiku,1260,10,74.99199999999999,20.989969456332656
game2,2,command-r-plus-08-2024,Command R+,1276,11,79.44691818181819,19.414208203623357
game2,2,amazon-nova-pro-v1.0,Nova Pro,1290,7,87.40614285714287,9.176169542689946
game2,2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,5,68.86567966,19.237672337672212
game2,2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,8,93.40375,4.40866982692707
game2,2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,6,81.645,18.75847834980226
game2,2,gpt-5-nano-high,GPT-5-nano,1337,7,91.47957142857142,8.073689405658826
game2,2,gpt-4o-2024-05-13,GPT-4o,1345,8,84.2582625,11.73201799264821
game2,2,deepseek-v3,DeepSeek V3,1358,4,85.15525000000001,7.206400922096959
game2,2,o3-mini-high,o3-mini-high,1363,4,82.1517825,12.131940544003044
game2,2,gemma-3-27b-it,Gemma 3 27B,1365,7,86.07357142857143,10.005168578575493
game2,2,claude-sonnet-4-20250514,Sonnet 4,1389,2,84.6405,2.1064711011547343
game2,2,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,71.8520987,32.08553772024218
game2,2,deepseek-r1-0528,DeepSeek R1-0528,1422,7,90.05557142857143,5.461193760132877
game2,2,qwen3-max-preview,Qwen3 Max,1435,6,92.76916666666666,5.006484212165929
game2,2,gemini-2.5-pro,Gemini 2.5 Pro,1448,5,85.40020000000001,8.34155550242279
game2,2,claude-opus-4-5-20251101,Opus 4.5,1468,6,87.16756666666667,6.421559431062416
game2,2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,5,97.26,1.34725647150052
game2,2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,6,75.93788333333335,19.633814490762273
game2,2,gpt-5.4-high,GPT-5.4 High,1484,9,96.0188888888889,2.5617057034544484
game2,2,gemini-3.1-pro,gemini-3.1-pro,1494,5,91.098,9.009346258192098
game2,2,claude-opus-4-6,Opus 4.6,1499,9,89.64163333333333,17.401728201819488
game2,2,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,7,88.90567142857142,15.404996600314918
game2,4,amazon-nova-micro-v1.0,Nova Micro,1240,16,78.0570875,13.114134469946277
game2,4,claude-3-haiku-20240307,Claude 3 Haiku,1260,12,82.53916666666667,20.132427238541087
game2,4,command-r-plus-08-2024,Command R+,1276,14,78.26,15.736809905441445
game2,4,amazon-nova-pro-v1.0,Nova Pro,1290,10,80.8426,14.831550253878834
game2,4,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,11,80.43936363636364,15.538281946680778
game2,4,llama-3.3-70b-instruct,Llama 3.3 70B,1318,11,82.40790909090909,15.586910857861128
game2,4,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,9,72.20822222222222,16.88538834153494
game2,4,gpt-5-nano-high,GPT-5-nano,1337,9,89.14222222222222,12.678090133945428
game2,4,gpt-4o-2024-05-13,GPT-4o,1345,9,84.56888888888889,14.561051167793863
game2,4,deepseek-v3,DeepSeek V3,1358,11,78.02590909090908,14.416502713588658
game2,4,o3-mini-high,o3-mini-high,1363,15,84.48320666666667,13.611657634357123
game2,4,gemma-3-27b-it,Gemma 3 27B,1365,9,82.42500000000001,14.543034664402066
game2,4,claude-sonnet-4-20250514,Sonnet 4,1389,14,83.79271428571428,13.017438560689214
game2,4,claude-haiku-4-5-20251001,Haiku 4.5,1407,7,89.36542857142857,7.8770510949454255
game2,4,deepseek-r1-0528,DeepSeek R1-0528,1422,11,82.53436363636364,10.625765669096292
game2,4,qwen3-max-preview,Qwen3 Max,1435,10,88.77420000000001,8.697855224773008
game2,4,gemini-2.5-pro,Gemini 2.5 Pro,1448,13,87.10276923076923,11.840247781429275
game2,4,claude-opus-4-5-20251101,Opus 4.5,1468,11,82.07901818181818,14.75972895427407
game2,4,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,18,90.05416666666666,7.743533774933078
game2,4,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,14,87.52528571428572,11.783348841143933
game2,4,gpt-5.4-high,GPT-5.4 High,1484,12,84.90716666666667,7.005625127298947
game2,4,gemini-3.1-pro,gemini-3.1-pro,1494,16,93.58018750000001,5.982975092919913
game2,4,claude-opus-4-6,Opus 4.6,1499,18,92.14744444444445,7.648584215182049
game2,4,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,12,88.838025,8.90271134533795
game2,6,amazon-nova-micro-v1.0,Nova Micro,1240,21,84.15895238095239,12.863162427942008
game2,6,claude-3-haiku-20240307,Claude 3 Haiku,1260,12,81.66975,14.17132818645386
game2,6,command-r-plus-08-2024,Command R+,1276,20,77.16635,14.624693523644392
game2,6,amazon-nova-pro-v1.0,Nova Pro,1290,20,77.74449999999999,17.07974188606891
game2,6,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,17,80.45876470588234,11.685026928346229
game2,6,llama-3.3-70b-instruct,Llama 3.3 70B,1318,18,85.37722222222222,13.630303002784359
game2,6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,19,73.7997894736842,16.007572005422062
game2,6,gpt-5-nano-high,GPT-5-nano,1337,3,80.41666666666667,4.753496958380566
game2,6,gpt-4o-2024-05-13,GPT-4o,1345,17,79.21605882352941,13.173942796627875
game2,6,deepseek-v3,DeepSeek V3,1358,14,83.15907142857144,14.972270689841602
game2,6,o3-mini-high,o3-mini-high,1363,14,75.16400714285714,16.26958354629722
game2,6,gemma-3-27b-it,Gemma 3 27B,1365,8,77.38875,15.345938911367677
game2,6,claude-sonnet-4-20250514,Sonnet 4,1389,25,84.95031999999999,12.077624289431528
game2,6,claude-haiku-4-5-20251001,Haiku 4.5,1407,20,80.5558,16.19743279398897
game2,6,deepseek-r1-0528,DeepSeek R1-0528,1422,21,86.7948238095238,8.235593315111233
game2,6,qwen3-max-preview,Qwen3 Max,1435,21,90.50804761904763,7.5828722953521375
game2,6,gemini-2.5-pro,Gemini 2.5 Pro,1448,21,87.17085714285714,10.008944096585386
game2,6,claude-opus-4-5-20251101,Opus 4.5,1468,19,87.23378947368421,12.851488567386301
game2,6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,20,89.5101,8.324416198275127
game2,6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,22,85.29495454545454,10.633885257256729
game2,6,gpt-5.4-high,GPT-5.4 High,1484,17,87.59921176470588,9.100762121237588
game2,6,gemini-3.1-pro,gemini-3.1-pro,1494,21,84.05835238095239,12.187387589127503
game2,6,claude-opus-4-6,Opus 4.6,1499,11,85.42344545454544,13.402561336652308
game2,6,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,19,90.38115789473684,9.636347401970413
game2,8,amazon-nova-micro-v1.0,Nova Micro,1240,19,82.12542105263158,15.040070224850046
game2,8,claude-3-haiku-20240307,Claude 3 Haiku,1260,17,79.71888235294118,13.043016722955388
