game_label,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,amazon-nova-micro-v1.0,Nova Micro,1240,68,40.998558823529414,31.067837884016534
game1,claude-3-haiku-20240307,Claude 3 Haiku,1260,58,43.84737931034483,31.646329653774284
game1,command-r-plus-08-2024,Command R+,1276,38,38.96894736842105,28.318620557283953
game1,amazon-nova-pro-v1.0,Nova Pro,1290,35,47.76702431428571,30.041526435458277
game1,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,38,43.4018947368421,32.41402732034011
game1,llama-3.3-70b-instruct,Llama 3.3 70B,1318,45,48.33111844444444,33.00124954319966
game1,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,47,33.66731636170213,30.632146430391295
game1,gpt-5-nano-high,GPT-5-nano,1337,34,60.38344117647058,33.68090855968001
game1,gpt-4o-2024-05-13,GPT-4o,1345,49,48.91341944897959,29.270292981191155
game1,deepseek-v3,DeepSeek V3,1358,42,53.65714285714286,32.07631983374425
game1,o3-mini-high,o3-mini-high,1363,54,53.55954041990741,31.634421874086566
game1,gemma-3-27b-it,Gemma 3 27B,1365,36,54.428218083333334,34.75982394322751
game1,claude-sonnet-4-20250514,Sonnet 4,1389,52,57.33927923076923,28.798415978489466
game1,claude-haiku-4-5-20251001,Haiku 4.5,1407,42,54.83380952380952,27.62230319712774
game1,deepseek-r1-0528,DeepSeek R1-0528,1422,43,49.92558139534884,27.72623042933529
game1,qwen3-max-preview,Qwen3 Max,1435,39,52.888,29.57146249164449
game1,gemini-2.5-pro,Gemini 2.5 Pro,1448,45,48.05200000000001,28.962567502962106
game1,claude-opus-4-5-20251101,Opus 4.5,1468,37,64.35862162162162,28.413339781157717
game1,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,48,53.886875,24.111500139202576
game1,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,51,56.67254901960785,28.246140114581127
game1,gpt-5.4-high,GPT-5.4 High,1484,51,53.785078431372554,30.061698244006873
game1,gemini-3.1-pro,gemini-3.1-pro,1494,49,57.30170367346939,26.47574233921801
game1,claude-opus-4-6,Opus 4.6,1499,60,59.01166666666666,27.259463240463706
game1,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,61,53.75920511844262,27.78480049418104
game2,amazon-nova-micro-v1.0,Nova Micro,1240,85,80.2477305882353,16.480093409380608
game2,claude-3-haiku-20240307,Claude 3 Haiku,1260,67,80.83194029850746,15.861652549543578
game2,command-r-plus-08-2024,Command R+,1276,81,80.56251975308642,14.742446713456522
game2,amazon-nova-pro-v1.0,Nova Pro,1290,66,81.92125757575758,14.588738766924198
game2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,61,82.96610489016395,12.268125591458901
game2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,70,84.38012857142857,13.718884826992072
game2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,55,76.36818181818182,16.171613539930032
game2,gpt-5-nano-high,GPT-5-nano,1337,35,88.33145714285715,9.90259320862279
game2,gpt-4o-2024-05-13,GPT-4o,1345,69,82.52562463768116,12.480442047982933
game2,deepseek-v3,DeepSeek V3,1358,63,84.31842857142857,11.97114524086481
game2,o3-mini-high,o3-mini-high,1363,65,82.66634353846153,13.519091445287946
game2,gemma-3-27b-it,Gemma 3 27B,1365,50,80.5462,15.977630170884261
game2,claude-sonnet-4-20250514,Sonnet 4,1389,79,85.60721518987341,10.973025294774738
game2,claude-haiku-4-5-20251001,Haiku 4.5,1407,65,84.64009534461539,14.18993354323061
game2,deepseek-r1-0528,DeepSeek R1-0528,1422,66,88.23165606060607,8.757002079815088
game2,qwen3-max-preview,Qwen3 Max,1435,74,89.91024324324324,7.350408565311762
game2,gemini-2.5-pro,Gemini 2.5 Pro,1448,74,87.79932432432433,8.994823458192919
game2,claude-opus-4-5-20251101,Opus 4.5,1468,67,86.36838208955224,10.714512912908663
game2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,73,89.46457534246575,8.570866340752856
game2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,71,86.70614507042254,11.706581542067791
game2,gpt-5.4-high,GPT-5.4 High,1484,64,89.457775,8.261681793620937
game2,gemini-3.1-pro,gemini-3.1-pro,1494,69,87.64525217391304,12.005532595660771
game2,claude-opus-4-6,Opus 4.6,1499,64,89.34249375,11.204165467387346
game2,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,67,88.76402985074628,9.931722719527581
game3,amazon-nova-micro-v1.0,Nova Micro,1240,5,21.31,9.186021989958439
game3,claude-3-haiku-20240307,Claude 3 Haiku,1260,8,6.5,13.760813929415658
game3,command-r-plus-08-2024,Command R+,1276,4,15.645,14.480261277569085
game3,amazon-nova-pro-v1.0,Nova Pro,1290,5,10.959999999999999,9.700927790680643
game3,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,3,13.6,3.8574603043971813
game3,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,33.300000000000004,
game3,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,3,4.300000000000001,12.994999038091539
game3,gpt-5-nano-high,GPT-5-nano,1337,2,18.7,6.081118318204309
game3,gpt-4o-2024-05-13,GPT-4o,1345,6,25.183333333333334,22.18742136136299
game3,deepseek-v3,DeepSeek V3,1358,6,16.125833333333333,17.22864487319495
