theme,runs,n3_runs,n5_runs,high_competition_runs,mean_first_minus_last
first_agent_gets_higher_payoff_than_last,174,117,57,110,24.818497193758624
first_agent_gets_lower_payoff_than_last_counterexample,82,50,32,30,-16.31074138007317
high_competition_first_agent_advantage,110,76,34,110,24.916506728127278
agent1_formal_proposal_advantages_agent1_vs_mean,240,171,69,119,14.9599219788
high_comp_agent1_self_advantaged_proposal_and_first_win,102,72,30,102,26.198795344058826
agent1_receives_top_item,273,198,75,115,12.45744878857143
last_agent_receives_top_item,175,124,51,30,-2.160892686925714
agent1_top_item_and_last_not,117,81,36,96,28.939705428632482
all_agents_receive_top_item,120,112,8,4,-0.04105351149999971
n5_one_item_per_agent_final,84,0,84,44,6.560955023809524
low_competition_no_first_advantage,74,60,14,0,-6.490700810810811
final_allocation_matches_agent1_formal_proposal,252,169,83,132,10.445534227063494
formal_proposals_converge_to_identical_allocation,45,28,17,24,11.222222222222221
later_agents_use_alignment_language,310,219,91,143,9.615928124348388
quick_resolution_or_lock_in_frame,310,219,91,143,9.615928124348388
efficiency_or_top_items_frame,306,217,89,140,9.709861825320264
later_agents_use_concession_or_adjustment_language,310,219,91,143,9.615928124348388
