experiment_group,model_normalized,error_cause,samples_with_json_error,arena_elo
heterogeneous,amazon-nova-micro-v1.0,JSON comments inside arrays/objects,10,1240
heterogeneous,amazon-nova-micro-v1.0,comments/prose inside JSON object,1,1240
heterogeneous,amazon-nova-micro-v1.0,missing value or truncated JSON,1,1240
heterogeneous,amazon-nova-micro-v1.0,natural language/no JSON object,1,1240
heterogeneous,amazon-nova-micro-v1.0,unescaped newline/control char in JSON string,2,1240
heterogeneous,amazon-nova-micro-v1.0,used item names instead of numeric indices,2,1240
heterogeneous,amazon-nova-micro-v1.0,wrong proposal schema,1,1240
heterogeneous,amazon-nova-pro-v1.0,JSON comments inside arrays/objects,27,1290
heterogeneous,amazon-nova-pro-v1.0,missing comma/quote delimiter,1,1290
heterogeneous,amazon-nova-pro-v1.0,natural language/no JSON object,1,1290
heterogeneous,amazon-nova-pro-v1.0,unescaped newline/control char in JSON string,2,1290
heterogeneous,amazon-nova-pro-v1.0,wrong proposal schema,1,1290
heterogeneous,claude-3-haiku-20240307,JSON comments inside arrays/objects,5,1260
heterogeneous,claude-3-haiku-20240307,missing comma/quote delimiter,1,1260
heterogeneous,claude-3-haiku-20240307,natural language/no JSON object,16,1260
heterogeneous,claude-3-haiku-20240307,unescaped newline/control char in JSON string,211,1260
heterogeneous,claude-3-haiku-20240307,wrong proposal schema,1,1260
heterogeneous,claude-haiku-4-5-20251001,JSON comments inside arrays/objects,1,1407
heterogeneous,claude-haiku-4-5-20251001,comments/prose inside JSON object,2,1407
heterogeneous,claude-haiku-4-5-20251001,missing value or truncated JSON,1,1407
heterogeneous,claude-haiku-4-5-20251001,natural language/no JSON object,42,1407
heterogeneous,claude-haiku-4-5-20251001,prose before JSON object,2,1407
heterogeneous,claude-opus-4-5-20251101,natural language/no JSON object,1,1468
heterogeneous,claude-opus-4-5-20251101,wrong proposal schema,4,1468
heterogeneous,claude-opus-4-6,natural language/no JSON object,5,1499
heterogeneous,claude-opus-4-6,wrong proposal schema,4,1499
heterogeneous,claude-sonnet-4-20250514,natural language/no JSON object,34,1389
heterogeneous,claude-sonnet-4-20250514,prose before JSON object,1,1389
