experiment_group,game,phase,samples,samples_with_json_error,sample_json_error_pct,n_scope
heterogeneous,game1,private_thinking,396,129,32.57575757575758,N>2
heterogeneous,game1,proposal,393,221,56.234096692111954,N>2
heterogeneous,game1,voting,218,0,0.0,N>2
heterogeneous,game2,private_thinking,319,96,30.094043887147336,N>2
heterogeneous,game2,proposal,317,19,5.993690851735016,N>2
heterogeneous,game2,voting,308,0,0.0,N>2
heterogeneous,game3,private_thinking,108,23,21.296296296296298,N>2
heterogeneous,game3,proposal,107,4,3.7383177570093453,N>2
heterogeneous,game3,voting,101,0,0.0,N>2
homogeneous,game1,private_thinking,389,64,16.452442159383033,N>2
homogeneous,game1,proposal,388,60,15.463917525773196,N>2
homogeneous,game1,voting,354,0,0.0,N>2
homogeneous,game2,private_thinking,295,51,17.28813559322034,N>2
homogeneous,game2,proposal,295,3,1.0169491525423728,N>2
homogeneous,game2,voting,294,0,0.0,N>2
homogeneous,game3,private_thinking,301,83,27.57475083056478,N>2
homogeneous,game3,proposal,301,20,6.64451827242525,N>2
homogeneous,game3,voting,301,0,0.0,N>2
