experiment_group,model_normalized,game,samples,samples_with_json_error,sample_json_error_pct,n_scope,arena_elo
heterogeneous,amazon-nova-micro-v1.0,game1,131,15,11.450381679389313,N>2,1240
heterogeneous,amazon-nova-micro-v1.0,game2,101,1,0.9900990099009901,N>2,1240
heterogeneous,amazon-nova-micro-v1.0,game3,30,0,0.0,N>2,1240
heterogeneous,amazon-nova-pro-v1.0,game1,93,29,31.182795698924732,N>2,1290
heterogeneous,amazon-nova-pro-v1.0,game2,85,2,2.3529411764705883,N>2,1290
heterogeneous,amazon-nova-pro-v1.0,game3,15,0,0.0,N>2,1290
heterogeneous,claude-3-haiku-20240307,game1,114,109,95.6140350877193,N>2,1260
heterogeneous,claude-3-haiku-20240307,game2,85,85,100.0,N>2,1260
heterogeneous,claude-3-haiku-20240307,game3,21,18,85.71428571428571,N>2,1260
heterogeneous,claude-haiku-4-5-20251001,game1,129,46,35.65891472868217,N>2,1407
heterogeneous,claude-haiku-4-5-20251001,game2,102,0,0.0,N>2,1407
heterogeneous,claude-haiku-4-5-20251001,game3,16,0,0.0,N>2,1407
heterogeneous,claude-opus-4-5-20251101,game1,172,5,2.9069767441860463,N>2,1468
heterogeneous,claude-opus-4-5-20251101,game2,147,0,0.0,N>2,1468
heterogeneous,claude-opus-4-5-20251101,game3,32,0,0.0,N>2,1468
heterogeneous,claude-opus-4-6,game1,185,9,4.864864864864865,N>2,1499
heterogeneous,claude-opus-4-6,game2,146,0,0.0,N>2,1499
heterogeneous,claude-opus-4-6,game3,31,0,0.0,N>2,1499
heterogeneous,claude-sonnet-4-20250514,game1,132,35,26.515151515151516,N>2,1389
heterogeneous,claude-sonnet-4-20250514,game2,118,0,0.0,N>2,1389
heterogeneous,claude-sonnet-4-20250514,game3,15,0,0.0,N>2,1389
heterogeneous,command-r-plus-08-2024,game1,107,2,1.8691588785046727,N>2,1276
heterogeneous,command-r-plus-08-2024,game2,96,1,1.0416666666666665,N>2,1276
heterogeneous,command-r-plus-08-2024,game3,18,1,5.555555555555555,N>2,1276
heterogeneous,deepseek-r1-0528,game1,110,18,16.363636363636363,N>2,1422
heterogeneous,deepseek-r1-0528,game2,101,0,0.0,N>2,1422
heterogeneous,deepseek-r1-0528,game3,23,0,0.0,N>2,1422
heterogeneous,deepseek-v3,game1,122,19,15.573770491803279,N>2,1358
heterogeneous,deepseek-v3,game2,112,0,0.0,N>2,1358
heterogeneous,deepseek-v3,game3,23,0,0.0,N>2,1358
heterogeneous,gemini-2.5-pro,game1,107,0,0.0,N>2,1448
heterogeneous,gemini-2.5-pro,game2,97,0,0.0,N>2,1448
heterogeneous,gemini-2.5-pro,game3,19,0,0.0,N>2,1448
heterogeneous,gemini-3.1-pro-preview,game1,111,0,0.0,N>2,1494
heterogeneous,gemini-3.1-pro-preview,game2,90,0,0.0,N>2,1494
heterogeneous,gemini-3.1-pro-preview,game3,27,0,0.0,N>2,1494
heterogeneous,gemma-3-27b-it,game1,113,2,1.7699115044247788,N>2,1365
heterogeneous,gemma-3-27b-it,game2,81,0,0.0,N>2,1365
heterogeneous,gemma-3-27b-it,game3,18,0,0.0,N>2,1365
heterogeneous,gpt-4.1-nano-2025-04-14,game1,115,5,4.3478260869565215,N>2,1322
heterogeneous,gpt-4.1-nano-2025-04-14,game2,86,0,0.0,N>2,1322
heterogeneous,gpt-4.1-nano-2025-04-14,game3,18,1,5.555555555555555,N>2,1322
heterogeneous,gpt-4o-2024-05-13,game1,121,11,9.090909090909092,N>2,1345
heterogeneous,gpt-4o-2024-05-13,game2,95,4,4.2105263157894735,N>2,1345
heterogeneous,gpt-4o-2024-05-13,game3,29,0,0.0,N>2,1345
heterogeneous,gpt-4o-mini-2024-07-18,game1,101,46,45.54455445544555,N>2,1317
heterogeneous,gpt-4o-mini-2024-07-18,game2,92,3,3.260869565217391,N>2,1317
heterogeneous,gpt-4o-mini-2024-07-18,game3,23,0,0.0,N>2,1317
heterogeneous,gpt-5-nano-high,game1,111,17,15.315315315315313,N>2,1337
heterogeneous,gpt-5-nano-high,game2,83,19,22.89156626506024,N>2,1337
heterogeneous,gpt-5-nano-high,game3,23,6,26.08695652173913,N>2,1337
heterogeneous,gpt-5.2-chat-latest-20260210,game1,115,0,0.0,N>2,1478
heterogeneous,gpt-5.2-chat-latest-20260210,game2,89,1,1.1235955056179776,N>2,1478
heterogeneous,gpt-5.2-chat-latest-20260210,game3,16,0,0.0,N>2,1478
heterogeneous,gpt-5.4-high,game1,113,2,1.7699115044247788,N>2,1484
heterogeneous,gpt-5.4-high,game2,78,2,2.564102564102564,N>2,1484
heterogeneous,gpt-5.4-high,game3,22,0,0.0,N>2,1484
heterogeneous,llama-3.3-70b-instruct,game1,118,27,22.88135593220339,N>2,1318
heterogeneous,llama-3.3-70b-instruct,game2,91,0,0.0,N>2,1318
heterogeneous,llama-3.3-70b-instruct,game3,19,1,5.263157894736842,N>2,1318
heterogeneous,o3-mini-high,game1,134,0,0.0,N>2,1363
heterogeneous,o3-mini-high,game2,101,0,0.0,N>2,1363
heterogeneous,o3-mini-high,game3,20,1,5.0,N>2,1363
heterogeneous,qwen3-max-preview,game1,116,0,0.0,N>2,1435
heterogeneous,qwen3-max-preview,game2,98,0,0.0,N>2,1435
heterogeneous,qwen3-max-preview,game3,16,0,0.0,N>2,1435
homogeneous,amazon-nova-micro-v1.0,game1,80,13,16.25,N>2,1240
homogeneous,amazon-nova-micro-v1.0,game2,64,0,0.0,N>2,1240
homogeneous,amazon-nova-micro-v1.0,game3,64,9,14.0625,N>2,1240
homogeneous,claude-sonnet-4-20250514,game1,79,6,7.59493670886076,N>2,1389
homogeneous,claude-sonnet-4-20250514,game2,64,0,0.0,N>2,1389
homogeneous,claude-sonnet-4-20250514,game3,64,1,1.5625,N>2,1389
homogeneous,gemini-2.5-pro,game1,80,0,0.0,N>2,1448
homogeneous,gemini-2.5-pro,game2,64,0,0.0,N>2,1448
homogeneous,gemini-2.5-pro,game3,64,0,0.0,N>2,1448
homogeneous,gpt-4o-mini-2024-07-18,game1,79,34,43.037974683544306,N>2,1317
homogeneous,gpt-4o-mini-2024-07-18,game2,64,0,0.0,N>2,1317
homogeneous,gpt-4o-mini-2024-07-18,game3,64,0,0.0,N>2,1317
homogeneous,gpt-5-nano-high,game1,389,72,18.50899742930591,N>2,1337
homogeneous,gpt-5-nano-high,game2,295,54,18.305084745762713,N>2,1337
homogeneous,gpt-5-nano-high,game3,301,87,28.903654485049834,N>2,1337
homogeneous,gpt-5.4-high,game1,31,0,0.0,N>2,1484
homogeneous,gpt-5.4-high,game2,7,0,0.0,N>2,1484
homogeneous,gpt-5.4-high,game3,13,0,0.0,N>2,1484
