experiment_group,model_normalized,phase,samples,samples_with_json_error,sample_json_error_pct,n_scope,arena_elo
heterogeneous,amazon-nova-micro-v1.0,private_thinking,262,1,0.38167938931297707,N>2,1240
heterogeneous,amazon-nova-micro-v1.0,proposal,219,16,7.30593607305936,N>2,1240
heterogeneous,amazon-nova-micro-v1.0,voting,189,0,0.0,N>2,1240
heterogeneous,amazon-nova-pro-v1.0,private_thinking,193,2,1.0362694300518136,N>2,1290
heterogeneous,amazon-nova-pro-v1.0,proposal,163,29,17.791411042944784,N>2,1290
heterogeneous,amazon-nova-pro-v1.0,voting,133,0,0.0,N>2,1290
heterogeneous,claude-3-haiku-20240307,private_thinking,220,211,95.9090909090909,N>2,1260
heterogeneous,claude-3-haiku-20240307,proposal,190,22,11.578947368421053,N>2,1260
heterogeneous,claude-3-haiku-20240307,voting,154,0,0.0,N>2,1260
heterogeneous,claude-haiku-4-5-20251001,private_thinking,247,0,0.0,N>2,1407
heterogeneous,claude-haiku-4-5-20251001,proposal,213,46,21.5962441314554,N>2,1407
heterogeneous,claude-haiku-4-5-20251001,voting,149,0,0.0,N>2,1407
heterogeneous,claude-opus-4-5-20251101,private_thinking,351,0,0.0,N>2,1468
heterogeneous,claude-opus-4-5-20251101,proposal,291,5,1.718213058419244,N>2,1468
heterogeneous,claude-opus-4-5-20251101,voting,243,0,0.0,N>2,1468
heterogeneous,claude-opus-4-6,private_thinking,362,0,0.0,N>2,1499
heterogeneous,claude-opus-4-6,proposal,315,9,2.857142857142857,N>2,1499
heterogeneous,claude-opus-4-6,voting,248,0,0.0,N>2,1499
heterogeneous,claude-sonnet-4-20250514,private_thinking,265,0,0.0,N>2,1389
heterogeneous,claude-sonnet-4-20250514,proposal,234,35,14.957264957264957,N>2,1389
heterogeneous,claude-sonnet-4-20250514,voting,172,0,0.0,N>2,1389
heterogeneous,command-r-plus-08-2024,private_thinking,221,2,0.904977375565611,N>2,1276
heterogeneous,command-r-plus-08-2024,proposal,190,2,1.0526315789473684,N>2,1276
heterogeneous,command-r-plus-08-2024,voting,151,0,0.0,N>2,1276
heterogeneous,deepseek-r1-0528,private_thinking,234,0,0.0,N>2,1422
heterogeneous,deepseek-r1-0528,proposal,197,18,9.137055837563452,N>2,1422
heterogeneous,deepseek-r1-0528,voting,138,0,0.0,N>2,1422
heterogeneous,deepseek-v3,private_thinking,257,0,0.0,N>2,1358
heterogeneous,deepseek-v3,proposal,216,19,8.796296296296296,N>2,1358
heterogeneous,deepseek-v3,voting,171,0,0.0,N>2,1358
heterogeneous,gemini-2.5-pro,private_thinking,223,0,0.0,N>2,1448
heterogeneous,gemini-2.5-pro,proposal,192,0,0.0,N>2,1448
heterogeneous,gemini-2.5-pro,voting,160,0,0.0,N>2,1448
heterogeneous,gemini-3.1-pro-preview,private_thinking,228,0,0.0,N>2,1494
heterogeneous,gemini-3.1-pro-preview,proposal,186,0,0.0,N>2,1494
heterogeneous,gemini-3.1-pro-preview,voting,155,0,0.0,N>2,1494
