experiment_group,phase,round,samples_with_json_error
heterogeneous,private_thinking,1,240
heterogeneous,private_thinking,2,43
heterogeneous,private_thinking,3,9
heterogeneous,private_thinking,4,5
heterogeneous,private_thinking,5,2
heterogeneous,private_thinking,8,1
heterogeneous,proposal,1,230
heterogeneous,proposal,2,38
heterogeneous,proposal,3,6
heterogeneous,proposal,4,2
homogeneous,private_thinking,1,138
homogeneous,private_thinking,2,27
homogeneous,private_thinking,3,15
homogeneous,private_thinking,4,15
homogeneous,private_thinking,5,11
homogeneous,private_thinking,6,17
homogeneous,private_thinking,7,11
homogeneous,private_thinking,8,9
homogeneous,private_thinking,9,6
homogeneous,private_thinking,10,7
homogeneous,proposal,1,61
homogeneous,proposal,2,13
homogeneous,proposal,3,12
homogeneous,proposal,4,6
homogeneous,proposal,5,9
homogeneous,proposal,6,1
homogeneous,proposal,7,4
homogeneous,proposal,8,3
homogeneous,proposal,9,2
homogeneous,proposal,10,2
