run_family,game,eligible_runs,explicit_coalition_plans,plan_pct_of_eligible,accepted_plans,accepted_pct_of_plans,harmful_nonzero,harmful_nonzero_pct_of_plans,harmful_nonzero_pct_of_accepted,literal_zero,literal_zero_pct_of_plans,literal_zero_pct_of_accepted
random_monoculture_control,game1,100,12,12.0,10,83.333,0,0.0,0.0,8,66.667,80.0
random_monoculture_control,game2,80,10,12.5,5,50.0,1,10.0,20.0,0,0.0,0.0
random_monoculture_control,game3,80,1,1.25,0,0.0,0,0.0,,0,0.0,
heterogeneous_random,game1,400,31,7.75,16,51.613,12,38.71,75.0,4,12.903,25.0
heterogeneous_random,game2,320,24,7.5,5,20.833,1,4.167,20.0,0,0.0,0.0
heterogeneous_random,game3,320,14,4.375,1,7.143,1,7.143,100.0,0,0.0,0.0
homogeneous_adversary,game1,400,6,1.5,4,66.667,2,33.333,50.0,2,33.333,50.0
homogeneous_adversary,game2,320,7,2.188,1,14.286,0,0.0,0.0,0,0.0,0.0
homogeneous_adversary,game3,320,6,1.875,1,16.667,0,0.0,0.0,0,0.0,0.0
homogeneous_control,game1,40,0,0.0,0,,0,,,0,,
homogeneous_control,game2,32,0,0.0,0,,0,,,0,,
homogeneous_control,game3,32,0,0.0,0,,0,,,0,,
