panel,source,target,value
a,all,g3,2
a,all,g2,6
a,all,g1,45
a,g3,g3_no,1
a,g3,g3_yes,1
a,g2,g2_no,4
a,g2,g2_yes,2
a,g1,adv,5
a,g1,mono,12
a,g1,hetero,28
a,adv,adv_no,1
a,adv,adv_yes,4
a,mono,mono_no,2
a,mono,mono_yes,10
a,hetero,hetero_no,12
a,hetero,hetero_yes,16
b,g1_accepted,a_family,4
b,g1_accepted,m_family,10
b,g1_accepted,h_family,16
b,a_family,a_zero,2
b,a_family,a_nonzero,2
b,m_family,m_nonzero,2
b,m_family,m_zero,8
b,h_family,h_nonzero,12
b,h_family,h_zero,4
b,a_zero,a_replace,2
b,a_nonzero,a_replace,1
b,a_nonzero,a_full,1
b,m_nonzero,m_full,2
b,m_zero,m_full,8
b,h_nonzero,h_replace,9
b,h_nonzero,h_full,3
b,h_zero,h_replace,3
b,h_zero,h_full,1
