model,model_display,elo,eligible_game1_runs_containing_model,heterogeneous_eligible_runs,random_monoculture_eligible_runs,homogeneous_adversary_eligible_runs,homogeneous_control_eligible_runs,harmful_proposals,harmful_proposal_pct,harmful_wilson_low_pct,harmful_wilson_high_pct,accepted_harmful_outcomes,literal_zero_proposals,literal_zero_proposal_pct,literal_zero_wilson_low_pct,literal_zero_wilson_high_pct,accepted_literal_zero_outcomes,heterogeneous_harmful_proposals,heterogeneous_harmful_proposal_pct,heterogeneous_literal_zero_proposals,heterogeneous_literal_zero_proposal_pct,random_monoculture_harmful_proposals,random_monoculture_harmful_proposal_pct,random_monoculture_literal_zero_proposals,random_monoculture_literal_zero_proposal_pct,homogeneous_adversary_harmful_proposals,homogeneous_adversary_harmful_proposal_pct,homogeneous_adversary_literal_zero_proposals,homogeneous_adversary_literal_zero_proposal_pct,homogeneous_control_harmful_proposals,homogeneous_control_harmful_proposal_pct,homogeneous_control_literal_zero_proposals,homogeneous_control_literal_zero_proposal_pct
amazon-nova-micro-v1.0,Nova Micro,1240,212,132,0,80,0,0,0.0,0.0,1.7798,0,0,0.0,0.0,1.7798,0,0,0.0,0,0.0,0,,0,,0,0.0,0,0.0,0,,0,
claude-3-haiku-20240307,Claude 3 Haiku,1260,135,115,20,0,0,0,0.0,0.0,2.7669,0,0,0.0,0.0,2.7669,0,0,0.0,0,0.0,0,0.0,0,0.0,0,,0,,0,,0,
command-r-plus-08-2024,Command R+,1276,108,108,0,0,0,0,0.0,0.0,3.4349,0,0,0.0,0.0,3.4349,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
amazon-nova-pro-v1.0,Nova Pro,1290,95,95,0,0,0,0,0.0,0.0,3.8866,0,0,0.0,0.0,3.8866,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
gpt-4o-mini-2024-07-18,GPT-4o Mini,1317,181,101,0,80,0,0,0.0,0.0,2.0783,0,0,0.0,0.0,2.0783,0,0,0.0,0,0.0,0,,0,,0,0.0,0,0.0,0,,0,
llama-3.3-70b-instruct,Llama 3.3 70B,1318,120,120,0,0,0,0,0.0,0.0,3.102,0,0,0.0,0.0,3.102,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
gpt-4.1-nano-2025-04-14,GPT-4.1 Nano,1322,117,117,0,0,0,0,0.0,0.0,3.179,0,0,0.0,0.0,3.179,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
gpt-5-nano-high,GPT-5 Nano High,1337,133,113,20,0,0,0,0.0,0.0,2.8073,0,0,0.0,0.0,2.8073,0,0,0.0,0,0.0,0,0.0,0,0.0,0,,0,,0,,0,
gpt-4o-2024-05-13,GPT-4o,1345,124,124,0,0,0,0,0.0,0.0,3.005,0,0,0.0,0.0,3.005,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
deepseek-v3,DeepSeek V3,1358,123,123,0,0,0,0,0.0,0.0,3.0287,0,0,0.0,0.0,3.0287,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
o3-mini-high,o3-mini High,1363,137,137,0,0,0,0,0.0,0.0,2.7276,0,0,0.0,0.0,2.7276,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
gemma-3-27b-it,Gemma 3 27B,1365,114,114,0,0,0,0,0.0,0.0,3.26,0,0,0.0,0.0,3.26,0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,
claude-sonnet-4-20250514,Claude Sonnet 4,1389,215,135,0,80,0,1,0.4651,0.0821,2.5872,1,0,0.0,0.0,1.7554,0,1,0.7407,0,0.0,0,,0,,0,0.0,0,0.0,0,,0,
claude-haiku-4-5-20251001,Claude Haiku 4.5,1407,131,131,0,0,0,5,3.8168,1.6411,8.624,5,5,3.8168,1.6411,8.624,3,5,3.8168,5,3.8168,0,,0,,0,,0,,0,,0,
deepseek-r1-0528,DeepSeek R1,1422,113,113,0,0,0,1,0.885,0.1564,4.8432,1,0,0.0,0.0,3.2879,0,1,0.885,0,0.0,0,,0,,0,,0,,0,,0,
qwen3-max-preview,Qwen3 Max,1435,137,117,20,0,0,4,2.9197,1.1411,7.2666,1,2,1.4599,0.4013,5.1664,0,4,3.4188,2,1.7094,0,0.0,0,0.0,0,,0,,0,,0,
gemini-2.5-pro,Gemini 2.5 Pro,1448,191,111,0,80,0,2,1.0471,0.2876,3.737,1,0,0.0,0.0,1.9717,0,0,0.0,0,0.0,0,,0,,2,2.5,0,0.0,0,,0,
claude-opus-4-5-20251101,Claude Opus 4.5,1468,117,97,20,0,0,2,1.7094,0.47,6.0191,0,1,0.8547,0.151,4.6831,0,2,2.0619,1,1.0309,0,0.0,0,0.0,0,,0,,0,,0,
claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,119,119,0,0,0,1,0.8403,0.1485,4.6069,1,0,0.0,0.0,3.1273,0,1,0.8403,0,0.0,0,,0,,0,,0,,0,,0,
