run_family,game,eligible_runs,harmful_strict_outcomes,harmful_strict_pct_of_eligible,literal_zero_outcomes,literal_zero_pct_of_eligible,harmful_nonzero_outcomes,literal_zero_pct_of_harmful
random_monoculture_control,game1,100,8,8.0,8,8.0,0,100.0
random_monoculture_control,game2,80,1,1.25,0,0.0,1,0.0
random_monoculture_control,game3,80,0,0.0,0,0.0,0,
heterogeneous_random,game1,400,16,4.0,4,1.0,12,25.0
heterogeneous_random,game2,320,1,0.312,0,0.0,1,0.0
heterogeneous_random,game3,320,1,0.312,0,0.0,1,0.0
homogeneous_adversary,game1,400,4,1.0,2,0.5,2,50.0
homogeneous_adversary,game2,320,0,0.0,0,0.0,0,
homogeneous_adversary,game3,320,0,0.0,0,0.0,0,
homogeneous_control,game1,40,0,0.0,0,0.0,0,
homogeneous_control,game2,32,0,0.0,0,0.0,0,
homogeneous_control,game3,32,0,0.0,0,0.0,0,
