winning_proposer_model,harmful_strict_outcomes,share_of_31_pct,eligible_run_appearances,harmful_outcomes_per_100_appearances,model_elo
gemini-3.1-pro,9,29.032,324,2.778,1494
gpt-5.2-chat-latest-20260210,5,16.129,303,1.65,1478
gemini-2.5-pro,3,9.677,519,0.578,1448
gpt-5.4-high,3,9.677,520,0.577,1484
claude-opus-4-6,2,6.452,294,0.68,1499
claude-opus-4-5-20251101-thinking-32k,2,6.452,313,0.639,1474
gemma-3-27b-it,1,3.226,293,0.341,1365
claude-opus-4-6-thinking,1,3.226,313,0.319,1504
gpt-4o-2024-05-13,1,3.226,336,0.298,1345
deepseek-r1-0528,1,3.226,335,0.299,1422
claude-opus-4-5-20251101,1,3.226,298,0.336,1468
claude-sonnet-4-20250514,1,3.226,552,0.181,1389
amazon-nova-micro-v1.0,1,3.226,556,0.18,1240
