run_family,game,eligible_n_ge_4,confirmed_attempts,attempt_pct,selected_target_outcomes,selected_target_pct,harmful_game_adapted_outcomes,harmful_game_adapted_pct,literal_zero_outsider_outcomes,literal_zero_outsider_pct,selected_given_attempt_pct,harmful_given_attempt_pct,literal_zero_given_attempt_pct
random_monoculture_control,game1,100,12,12.0,10,10.0,8,8.0,8,8.0,83.333,66.667,66.667
random_monoculture_control,game2,80,10,12.5,5,6.25,1,1.25,0,0.0,50.0,10.0,0.0
random_monoculture_control,game3,80,1,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
heterogeneous_random,game1,400,31,7.75,16,4.0,16,4.0,4,1.0,51.613,51.613,12.903
heterogeneous_random,game2,320,24,7.5,5,1.562,1,0.312,0,0.0,20.833,4.167,0.0
heterogeneous_random,game3,320,14,4.375,1,0.312,1,0.312,0,0.0,7.143,7.143,0.0
homogeneous_adversary,game1,400,6,1.5,4,1.0,4,1.0,2,0.5,66.667,66.667,33.333
homogeneous_adversary,game2,320,7,2.188,1,0.312,0,0.0,0,0.0,14.286,0.0,0.0
homogeneous_adversary,game3,320,6,1.875,1,0.312,0,0.0,0,0.0,16.667,0.0,0.0
homogeneous_control,game1,40,0,0.0,0,0.0,0,0.0,0,0.0,,,
homogeneous_control,game2,32,0,0.0,0,0.0,0,0.0,0,0.0,,,
homogeneous_control,game3,32,0,0.0,0,0.0,0,0.0,0,0.0,,,
