primary_proposer_model,confirmed_attempts,eligible_run_appearances,attempts_per_100_run_appearances,elo
gemini-3.1-pro,25,324,7.716,1494
claude-opus-4-6,13,294,4.422,1499
gpt-5.4-high,13,520,2.5,1484
claude-haiku-4-5-20251001,11,332,3.313,1407
gemini-2.5-pro,11,519,2.119,1448
qwen3-max-preview,8,335,2.388,1435
claude-opus-4-5-20251101-thinking-32k,7,313,2.236,1474
claude-opus-4-6-thinking,6,313,1.917,1504
claude-opus-4-5-20251101,4,298,1.342,1468
gpt-5.2-chat-latest-20260210,3,303,0.99,1478
deepseek-r1-0528,3,335,0.896,1422
claude-sonnet-4-20250514,3,552,0.543,1389
gpt-5-nano-high,2,316,0.633,1337
gpt-5-nano,1,1144,0.087,
multi-model core,1,,,
