run_family,model,model_display,confirmed_primary_proposer_runs,eligible_runs_containing_model,attempts_per_100_run_appearances
random_monoculture_control,amazon-nova-micro-v1.0,Amazon Nova Micro,0,16,0.0
random_monoculture_control,amazon-nova-pro-v1.0,Amazon Nova Pro,0,16,0.0
random_monoculture_control,claude-3-haiku-20240307,Claude 3 Haiku,0,20,0.0
random_monoculture_control,claude-opus-4-5-20251101,Claude Opus 4.5,0,20,0.0
random_monoculture_control,claude-opus-4-5-20251101-thinking-32k,Claude Opus 4.5 Thinking,0,16,0.0
random_monoculture_control,claude-opus-4-6,Claude Opus 4.6,8,16,50.0
random_monoculture_control,deepseek-r1-0528,DeepSeek R1,1,16,6.25
random_monoculture_control,deepseek-v3,DeepSeek V3,0,16,0.0
random_monoculture_control,gemini-3.1-pro,Gemini 3.1 Pro,12,20,60.0
random_monoculture_control,gpt-4o-2024-05-13,GPT-4o,0,16,0.0
random_monoculture_control,gpt-5-nano-high,GPT-5 Nano High,0,20,0.0
random_monoculture_control,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,2,16,12.5
random_monoculture_control,gpt-5.4-high,GPT-5.4 High,0,16,0.0
random_monoculture_control,o3-mini-high,o3-mini High,0,16,0.0
random_monoculture_control,qwen3-max-preview,Qwen3 Max,0,20,0.0
heterogeneous_random,amazon-nova-micro-v1.0,Amazon Nova Micro,0,332,0.0
heterogeneous_random,amazon-nova-pro-v1.0,Amazon Nova Pro,0,255,0.0
heterogeneous_random,claude-3-haiku-20240307,Claude 3 Haiku,0,289,0.0
heterogeneous_random,claude-haiku-4-5-20251001,Claude Haiku 4.5,11,332,3.313
heterogeneous_random,claude-opus-4-5-20251101,Claude Opus 4.5,4,278,1.439
heterogeneous_random,claude-opus-4-5-20251101-thinking-32k,Claude Opus 4.5 Thinking,7,297,2.357
heterogeneous_random,claude-opus-4-6,Claude Opus 4.6,5,278,1.799
heterogeneous_random,claude-opus-4-6-thinking,Claude Opus 4.6 Thinking,6,313,1.917
heterogeneous_random,claude-sonnet-4-20250514,Claude Sonnet 4,1,344,0.291
heterogeneous_random,command-r-plus-08-2024,command-r-plus-08-2024,0,295,0.0
heterogeneous_random,deepseek-r1-0528,DeepSeek R1,2,319,0.627
heterogeneous_random,deepseek-v3,DeepSeek V3,0,322,0.0
heterogeneous_random,gemini-2.5-pro,Gemini 2.5 Pro,2,311,0.643
heterogeneous_random,gemini-3.1-pro,Gemini 3.1 Pro,13,304,4.276
heterogeneous_random,gemma-3-27b-it,gemma-3-27b-it,0,293,0.0
heterogeneous_random,gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,0,288,0.0
heterogeneous_random,gpt-4o-2024-05-13,GPT-4o,0,320,0.0
heterogeneous_random,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,276,0.0
heterogeneous_random,gpt-5-nano-high,GPT-5 Nano High,2,296,0.676
heterogeneous_random,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1,287,0.348
heterogeneous_random,gpt-5.4-high,GPT-5.4 High,6,296,2.027
heterogeneous_random,llama-3.3-70b-instruct,llama-3.3-70b-instruct,0,305,0.0
heterogeneous_random,multi-model core,multi-model core,1,,
heterogeneous_random,o3-mini-high,o3-mini High,0,335,0.0
heterogeneous_random,qwen3-max-preview,Qwen3 Max,8,315,2.54
homogeneous_adversary,amazon-nova-micro-v1.0,Amazon Nova Micro,0,208,0.0
homogeneous_adversary,claude-sonnet-4-20250514,Claude Sonnet 4,2,208,0.962
homogeneous_adversary,gemini-2.5-pro,Gemini 2.5 Pro,9,208,4.327
homogeneous_adversary,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,208,0.0
homogeneous_adversary,gpt-5-nano,GPT-5 Nano,1,1040,0.096
homogeneous_adversary,gpt-5.4-high,GPT-5.4 High,7,208,3.365
homogeneous_control,gpt-5-nano,GPT-5 Nano,0,104,0.0
