paper_run_id,paper_batch,source_root,experiment_family,game,n_agents,config_id,config_path,result_path,rollout_path,result_bytes,rollout_bytes,canonical_index
paper_run_0001,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_448,experiments/results/scaling_experiment_20260404_064451/configs/config_448.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.0/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.0/turns_2/run_1/run_1_all_interactions.json,13573,46141,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0002,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_449,experiments/results/scaling_experiment_20260404_064451/configs/config_449.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.0/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.0/turns_2/run_2/run_2_all_interactions.json,14088,45290,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0003,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_450,experiments/results/scaling_experiment_20260404_064451/configs/config_450.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.25/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.25/turns_2/run_1/run_1_all_interactions.json,12204,43969,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0004,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_451,experiments/results/scaling_experiment_20260404_064451/configs/config_451.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.25/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.25/turns_2/run_2/run_2_all_interactions.json,12887,42262,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0005,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_452,experiments/results/scaling_experiment_20260404_064451/configs/config_452.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.5/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.5/turns_2/run_1/run_1_all_interactions.json,13567,46707,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0006,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_453,experiments/results/scaling_experiment_20260404_064451/configs/config_453.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.5/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.5/turns_2/run_2/run_2_all_interactions.json,12597,43152,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0007,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_454,experiments/results/scaling_experiment_20260404_064451/configs/config_454.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.75/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.75/turns_2/run_1/run_1_all_interactions.json,11746,42306,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0008,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_455,experiments/results/scaling_experiment_20260404_064451/configs/config_455.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.75/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.75/turns_2/run_2/run_2_all_interactions.json,13544,45110,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0009,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_456,experiments/results/scaling_experiment_20260404_064451/configs/config_456.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.9/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.9/turns_2/run_1/run_1_all_interactions.json,24317,91729,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0010,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_457,experiments/results/scaling_experiment_20260404_064451/configs/config_457.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.9/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.9/turns_2/run_2/run_2_all_interactions.json,25484,91622,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0011,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_458,experiments/results/scaling_experiment_20260404_064451/configs/config_458.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.95/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_0.95/turns_2/run_1/run_1_all_interactions.json,30336,106685,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0012,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_459,experiments/results/scaling_experiment_20260404_064451/configs/config_459.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.95/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_0.95/turns_2/run_2/run_2_all_interactions.json,13491,45112,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0013,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_460,experiments/results/scaling_experiment_20260404_064451/configs/config_460.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_1.0/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/weak_first/comp_1.0/turns_2/run_1/run_1_all_interactions.json,14588,47533,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0014,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_461,experiments/results/scaling_experiment_20260404_064451/configs/config_461.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_1.0/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6-thinking/strong_first/comp_1.0/turns_2/run_2/run_2_all_interactions.json,14892,47055,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0015,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_462,experiments/results/scaling_experiment_20260404_064451/configs/config_462.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.0/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.0/turns_2/run_1/run_1_all_interactions.json,12857,43824,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0016,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_463,experiments/results/scaling_experiment_20260404_064451/configs/config_463.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/strong_first/comp_0.0/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/strong_first/comp_0.0/turns_2/run_2/run_2_all_interactions.json,11617,40887,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0017,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_464,experiments/results/scaling_experiment_20260404_064451/configs/config_464.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.25/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.25/turns_2/run_1/run_1_all_interactions.json,15363,48959,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0018,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_465,experiments/results/scaling_experiment_20260404_064451/configs/config_465.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/strong_first/comp_0.25/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/strong_first/comp_0.25/turns_2/run_2/run_2_all_interactions.json,15023,49082,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0019,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_466,experiments/results/scaling_experiment_20260404_064451/configs/config_466.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.5/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.5/turns_2/run_1/run_1_all_interactions.json,14276,47188,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0020,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_467,experiments/results/scaling_experiment_20260404_064451/configs/config_467.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/strong_first/comp_0.5/turns_2/run_2/run_2_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/strong_first/comp_0.5/turns_2/run_2/run_2_all_interactions.json,15037,50336,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
paper_run_0021,bilateral_gpt5_nano,experiments/results/scaling_experiment_20260404_064451,bilateral_fixed_baseline,game1,2,config_468,experiments/results/scaling_experiment_20260404_064451/configs/config_468.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.75/turns_2/run_1/run_1_experiment_results.json,experiments/results/scaling_experiment_20260404_064451/gpt-5-nano_vs_claude-opus-4-6/weak_first/comp_0.75/turns_2/run_1/run_1_all_interactions.json,15391,50647,experiments/results/n2_baseline_comparison_analysis_20260505/primary_runs_with_metrics.csv
