competition_level,model,elo_model_name,elo,num_runs,avg_utility,std_utility
0.0,llama-3.2-1b-instruct,llama-3.2-1b-instruct,1110,4,45.349425,32.66613909680596
0.0,llama-3.2-3b-instruct,llama-3.2-3b-instruct,1166,4,80.0,34.64101615137755
0.0,llama-3.1-8b-instruct,llama-3.1-8b-instruct,1211,4,91.4025,14.891306818073422
0.0,amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,4,100.0,0.0
0.0,claude-3-haiku-20240307,claude-3-haiku-20240307,1260,4,95.25,8.227241335952167
0.0,command-r-plus-08-2024,command-r-plus-08-2024,1276,4,99.75,0.4330127018922193
0.0,amazon-nova-pro-v1.0,amazon-nova-pro-v1.0,1290,4,84.2074225,21.360707087559593
0.0,qwen2.5-72b-instruct,qwen2.5-72b-instruct,1302,4,100.0,0.0
0.0,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1317,3,100.0,0.0
0.0,llama-3.3-70b-instruct,llama-3.3-70b-instruct,1318,4,100.0,0.0
0.0,gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,1322,4,80.501515,16.04834125028736
0.0,qwq-32b,qwq-32b,1336,4,100.0,0.0
0.0,gpt-5-nano-high,gpt-5-nano-high,1337,4,100.0,0.0
0.0,gpt-4o-2024-05-13,gpt-4o-2024-05-13,1345,4,97.5,4.330127018922194
0.0,deepseek-v3,deepseek-v3,1358,4,99.75,0.4330127018922193
0.0,o3-mini-high,o3-mini-high,1363,4,95.475,7.837529904249167
0.0,gemma-3-27b-it,gemma-3-27b-it,1365,3,87.33333333333333,11.585431464655178
0.0,claude-sonnet-4-20250514,claude-sonnet-4-20250514,1389,4,97.5,4.330127018922194
0.0,deepseek-r1,deepseek-r1,1398,4,100.0,0.0
0.0,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,1407,4,100.0,0.0
0.0,deepseek-r1-0528,deepseek-r1-0528,1422,4,100.0,0.0
0.0,qwen3-max-preview,qwen3-max-preview,1435,4,100.0,0.0
0.0,gemini-2.5-pro,gemini-2.5-pro,1448,4,100.0,0.0
0.0,claude-opus-4-5-20251101,claude-opus-4-5-20251101,1468,4,100.0,0.0
0.0,claude-opus-4-5-20251101-thinking-32k,claude-opus-4-5-20251101-thinking-32k,1474,4,100.0,0.0
0.0,gpt-5.2-chat-latest-20260210,gpt-5.2-chat-latest-20260210,1478,4,100.0,0.0
0.0,gpt-5.4-high,gpt-5.4-high,1484,4,97.5,4.330127018922194
0.0,gemini-3-pro,gemini-3-pro,1486,4,100.0,0.0
0.0,claude-opus-4-6,claude-opus-4-6,1499,4,100.0,0.0
0.0,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1504,4,100.0,0.0
0.25,llama-3.2-1b-instruct,llama-3.2-1b-instruct,1110,4,46.882342200000004,19.368974412933184
0.25,llama-3.2-3b-instruct,llama-3.2-3b-instruct,1166,4,56.0,29.223278392404914
0.25,llama-3.1-8b-instruct,llama-3.1-8b-instruct,1211,4,81.225,3.7618977923383303
0.25,amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,4,64.344015,10.207185354478236
0.25,claude-3-haiku-20240307,claude-3-haiku-20240307,1260,4,81.525,13.664804243017898
0.25,command-r-plus-08-2024,command-r-plus-08-2024,1276,4,63.472500000000004,11.433077833636926
0.25,amazon-nova-pro-v1.0,amazon-nova-pro-v1.0,1290,3,75.4,12.206009448901252
0.25,qwen2.5-72b-instruct,qwen2.5-72b-instruct,1302,4,72.825,4.2593279986401615
0.25,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1317,4,78.825,13.449605012787549
0.25,llama-3.3-70b-instruct,llama-3.3-70b-instruct,1318,4,81.75,6.2599920127744575
0.25,gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,1322,4,69.525,8.647362314602068
0.25,qwq-32b,qwq-32b,1336,4,90.0,10.319883720275147
0.25,gpt-5-nano-high,gpt-5-nano-high,1337,4,75.2,6.574191965557436
0.25,gpt-4o-2024-05-13,gpt-4o-2024-05-13,1345,4,79.3,20.953997232031885
0.25,deepseek-v3,deepseek-v3,1358,4,83.5,5.220153254455275
0.25,o3-mini-high,o3-mini-high,1363,4,72.059,10.872554575627568
0.25,gemma-3-27b-it,gemma-3-27b-it,1365,4,72.3725,3.058311421356561
0.25,claude-sonnet-4-20250514,claude-sonnet-4-20250514,1389,4,74.8275,13.9536829815644
0.25,deepseek-r1,deepseek-r1,1398,4,85.8,14.822955170950223
0.25,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,1407,4,82.83,14.20375654536503
