rho,theta,model,model_short,elo,avg_utility,num_runs
-1.0,0.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,49.88,2
-1.0,0.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,68.85061625,2
-1.0,0.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,92.88,2
-1.0,0.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,98.85,2
-1.0,0.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,46.870000000000005,2
-1.0,0.0,command-r-plus-08-2024,Command R+,1277.0,88.17,2
-1.0,0.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,92.35000000000001,2
-1.0,0.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,41.035000000000004,2
-1.0,0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,91.81,2
-1.0,0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,93.25,2
-1.0,0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,69.58,2
-1.0,0.0,qwq-32b,QwQ-32B,1336.0,65.22999999999999,2
-1.0,0.0,gpt-4o-2024-05-13,GPT-4o,1346.0,89.205,2
-1.0,0.0,deepseek-v3,DeepSeek V3,1359.0,99.48,2
-1.0,0.0,o3-mini-high,o3-mini-high,1364.0,86.14000000000001,2
-1.0,0.0,gemma-3-27b-it,Gemma 3 27B,1366.0,98.5,2
-1.0,0.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,92.219,2
-1.0,0.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,92.5,2
-1.0,0.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,94.16749999999999,4
-1.0,0.0,qwen3-max-preview,Qwen3 Max,1435.0,96.77000000000001,2
-1.0,0.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,98.42999999999999,2
-1.0,0.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,78.6775,4
-1.0,0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,97.72,2
-1.0,0.0,gpt-5.4-high,GPT-5.4 High,1485.0,100.0,2
-1.0,0.0,gemini-3-pro,Gemini 3 Pro,1486.0,100.0,2
-1.0,0.0,claude-opus-4-6,Opus 4.6,1503.0,98.62,4
-1.0,0.5,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,55.962,2
-1.0,0.5,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,65.67,2
-1.0,0.5,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,49.32900000000001,2
-1.0,0.5,amazon-nova-micro-v1.0,Nova Micro,1241.0,57.35015,2
-1.0,0.5,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,64.655,2
-1.0,0.5,command-r-plus-08-2024,Command R+,1277.0,68.63,2
-1.0,0.5,amazon-nova-pro-v1.0,Nova Pro,1290.0,73.89,2
-1.0,0.5,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,79.71000000000001,2
-1.0,0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,86.50999999999999,2
-1.0,0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,75.10600000000001,2
-1.0,0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,56.425,2
-1.0,0.5,qwq-32b,QwQ-32B,1336.0,63.48650000000001,2
-1.0,0.5,gpt-4o-2024-05-13,GPT-4o,1346.0,70.7165,2
-1.0,0.5,deepseek-v3,DeepSeek V3,1359.0,77.81232000000001,2
-1.0,0.5,o3-mini-high,o3-mini-high,1364.0,77.66550000000001,2
-1.0,0.5,gemma-3-27b-it,Gemma 3 27B,1366.0,54.80000000000001,2
-1.0,0.5,claude-sonnet-4-20250514,Sonnet 4,1390.0,79.88550000000001,2
-1.0,0.5,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,68.12019,2
-1.0,0.5,deepseek-r1-0528,DeepSeek R1-0528,1420.0,74.29825,4
-1.0,0.5,qwen3-max-preview,Qwen3 Max,1435.0,78.786,2
-1.0,0.5,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,82.43449999999999,2
-1.0,0.5,claude-opus-4-5-20251101,Opus 4.5,1467.0,84.36325,4
-1.0,0.5,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,80.735,2
-1.0,0.5,gpt-5.4-high,GPT-5.4 High,1485.0,84.20400000000001,2
-1.0,0.5,gemini-3-pro,Gemini 3 Pro,1486.0,62.0131422381,2
-1.0,0.5,claude-opus-4-6,Opus 4.6,1503.0,86.35300000000001,4
-1.0,1.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,23.121000000000002,1
-1.0,1.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,59.065,2
-1.0,1.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,49.995,2
-1.0,1.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,57.39255000000001,2
-1.0,1.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,70.75999999999999,2
-1.0,1.0,command-r-plus-08-2024,Command R+,1277.0,41.453998,2
-1.0,1.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,69.725,2
-1.0,1.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,80.53,2
-1.0,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,79.375,2
-1.0,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,72.6255,2
-1.0,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,53.724999999999994,2
-1.0,1.0,qwq-32b,QwQ-32B,1336.0,56.6225,2
-1.0,1.0,gpt-4o-2024-05-13,GPT-4o,1346.0,67.63591000000001,2
-1.0,1.0,deepseek-v3,DeepSeek V3,1359.0,45.37825670277,2
