model,model_short,elo,avg_utility,num_runs
llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,61.80461674153847,13
llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,72.65353320766667,18
llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,78.36818055555555,18
amazon-nova-micro-v1.0,Nova Micro,1241.0,80.70580222222222,18
claude-3-haiku-20240307,Claude 3 Haiku,1261.0,78.50727777777779,18
command-r-plus-08-2024,Command R+,1277.0,84.20377755555555,18
amazon-nova-pro-v1.0,Nova Pro,1290.0,86.74177777777778,18
qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,81.27415555555555,18
gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,88.424,18
llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,85.39822222222222,18
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,79.90227777777778,18
qwq-32b,QwQ-32B,1336.0,81.93002777777777,18
gpt-4o-2024-05-13,GPT-4o,1346.0,85.42064555555555,18
deepseek-v3,DeepSeek V3,1359.0,84.39450880030778,18
o3-mini-high,o3-mini-high,1364.0,82.86246607905883,17
gemma-3-27b-it,Gemma 3 27B,1366.0,73.91072847313335,18
claude-sonnet-4-20250514,Sonnet 4,1390.0,84.05426666666668,18
claude-haiku-4-5-20251001,Haiku 4.5,1406.0,88.20763222222223,18
deepseek-r1-0528,DeepSeek R1-0528,1420.0,87.73271897222223,36
qwen3-max-preview,Qwen3 Max,1435.0,89.81127777777778,18
gemini-2.5-pro,Gemini 2.5 Pro,1449.0,90.32506666666667,18
claude-opus-4-5-20251101,Opus 4.5,1467.0,89.27091333333334,36
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,88.7065,18
gpt-5.4-high,GPT-5.4 High,1485.0,91.99119999999999,18
gemini-3-pro,Gemini 3 Pro,1486.0,84.65774135978889,18
claude-opus-4-6,Opus 4.6,1503.0,92.31309444444445,36
