model,model_short,elo_model_name,elo,total_configs,completed_configs,started_only_configs,not_started_configs,fully_finished,has_any_finished
claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,18,18,0,0,True,True
claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,18,18,0,0,True,True
gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,18,18,0,0,True,True
gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,18,18,0,0,True,True
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,18,18,0,0,True,True
claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,18,18,0,0,True,True
claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,18,18,0,0,True,True
gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,18,18,0,0,True,True
qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,18,18,0,0,True,True
deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,18,18,0,0,True,True
claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,18,18,0,0,True,True
deepseek-r1,DeepSeek R1,deepseek-r1,1398,18,18,0,0,True,True
claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,18,18,0,0,True,True
gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,18,18,0,0,True,True
o3-mini-high,o3-mini-high,o3-mini-high,1363,18,18,0,0,True,True
deepseek-v3,DeepSeek V3,deepseek-v3,1358,18,18,0,0,True,True
gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,18,18,0,0,True,True
gpt-5-nano-high,GPT-5-nano,gpt-5-nano-high,1337,18,18,0,0,True,True
qwq-32b,QwQ-32B,qwq-32b,1336,18,18,0,0,True,True
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,18,18,0,0,True,True
llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,18,18,0,0,True,True
gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,18,18,0,0,True,True
qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,18,18,0,0,True,True
amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,18,18,0,0,True,True
command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,18,18,0,0,True,True
claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,18,18,0,0,True,True
amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,18,18,0,0,True,True
llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,18,18,0,0,True,True
llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,18,18,0,0,True,True
llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,18,18,0,0,True,True
