alpha,sigma,model,model_short,elo_model_name,elo,num_runs,avg_utility,std_utility
0.0,0.2,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,0.0,0.0
0.0,0.2,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,0.0,0.0
0.0,0.2,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,-4.455,4.455
0.0,0.2,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,0.0,0.0
0.0,0.2,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,8.5,8.5
0.0,0.2,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,0.0,0.0
0.0,0.2,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,-2.0,2.0
0.0,0.2,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,-1.0,1.0
0.0,0.2,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,5.9049000000000005,5.9049000000000005
0.0,0.2,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,-1.35,1.35
0.0,0.2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
0.0,0.2,qwq-32b,QwQ-32B,qwq-32b,1336,2,1.3559717115000003,1.3559717115000003
0.0,0.2,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,-3.7935000000000003,1.6065
0.0,0.2,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,0.0,0.0
0.0,0.2,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,0.0,0.0
0.0,0.2,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,-4.050000000000001,4.050000000000001
0.0,0.2,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,-2.7,2.7
0.0,0.2,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,0.0,0.0
0.0,0.2,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,-1.8,1.8
0.0,0.2,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,0.0,0.0
0.0,0.2,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,0.0,0.0
0.0,0.2,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,0.0,0.0
0.0,0.2,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,-0.9841500000000001,0.9841500000000001
0.0,0.2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,4.05,4.05
0.0,0.2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,0.0,0.0
0.0,0.2,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,22.275000000000002,22.275000000000002
0.0,0.2,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,7.971615000000001,7.971615000000001
0.0,0.2,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,-1.215,1.215
0.0,0.2,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,0.29524500000000004,0.29524500000000004
0.0,0.6,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,0.0,0.0
0.0,0.6,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,-7.5,7.5
