name1,name2,gender1,gender2,race1,race2,utility1,utility2,payoff_diff,competition_level,order
Taohua Li,Hunter Becker,Girl,Boy,Chinese,White,85.0,62.0,23.0,0.5,name1_first
Dawei Li,Tanisha Washington,Boy,Girl,Chinese,African-American,61.0,39.0,22.0,1.0,name1_first
Claire Becker,Hunter Becker,Girl,Boy,White,White,85.0,67.0,18.0,0.5,name1_first
Hunter Becker,Taohua Li,Boy,Girl,White,Chinese,75.0,25.0,50.0,1.0,name1_first
Hunter Becker,Claire Becker,Boy,Girl,White,White,94.0,61.0,33.0,0.5,name1_first
Taohua Li,Dawei Li,Girl,Boy,Chinese,Chinese,66.0,86.0,-20.0,0.5,name1_first
DaShawn Washington,Tanisha Washington,Boy,Girl,African-American,African-American,59.0,41.0,18.0,1.0,name1_first
Claire Becker,DaShawn Washington,Girl,Boy,White,African-American,55.0,45.0,10.0,1.0,name1_first
Claire Becker,Dawei Li,Girl,Boy,White,Chinese,64.0,84.0,-20.0,0.5,name1_first
Hunter Becker,DaShawn Washington,Boy,Boy,White,African-American,67.0,89.0,-22.0,0.5,name1_first
Hunter Becker,Dawei Li,Boy,Boy,White,Chinese,77.0,63.0,14.0,0.5,name1_first
Dawei Li,Claire Becker,Boy,Girl,Chinese,White,58.0,87.0,-29.0,0.5,name1_first
Taohua Li,DaShawn Washington,Girl,Boy,Chinese,African-American,60.0,40.0,20.0,1.0,name1_first
Claire Becker,Taohua Li,Girl,Girl,White,Chinese,72.0,79.0,-7.0,0.5,name1_first
Tanisha Washington,DaShawn Washington,Girl,Boy,African-American,African-American,36.0,64.0,-28.0,1.0,name1_first
DaShawn Washington,Tanisha Washington,Boy,Girl,African-American,African-American,81.0,63.0,18.0,0.5,name1_first
Claire Becker,DaShawn Washington,Girl,Boy,White,African-American,65.0,82.0,-17.0,0.5,name1_first
Claire Becker,Dawei Li,Girl,Boy,White,Chinese,69.0,31.0,38.0,1.0,name1_first
Hunter Becker,DaShawn Washington,Boy,Boy,White,African-American,60.0,40.0,20.0,1.0,name1_first
Hunter Becker,Taohua Li,Boy,Girl,White,Chinese,67.0,89.0,-22.0,0.5,name1_first
Tanisha Washington,Dawei Li,Girl,Boy,African-American,Chinese,70.0,78.0,-8.0,0.5,name1_first
Taohua Li,Dawei Li,Girl,Boy,Chinese,Chinese,40.0,60.0,-20.0,1.0,name1_first
Dawei Li,Hunter Becker,Boy,Boy,Chinese,White,75.0,68.0,7.0,0.5,name1_first
Dawei Li,Tanisha Washington,Boy,Girl,Chinese,African-American,59.0,88.0,-29.0,0.5,name1_first
Taohua Li,DaShawn Washington,Girl,Boy,Chinese,African-American,88.0,65.0,23.0,0.5,name1_first
Taohua Li,Claire Becker,Girl,Girl,Chinese,White,64.0,87.0,-23.0,0.5,name1_first
Tanisha Washington,DaShawn Washington,Girl,Boy,African-American,African-American,90.0,60.0,30.0,0.5,name1_first
Claire Becker,Taohua Li,Girl,Girl,White,Chinese,68.0,32.0,36.0,1.0,name1_first
Dawei Li,Claire Becker,Boy,Girl,Chinese,White,40.0,60.0,-20.0,1.0,name1_first
Hunter Becker,Dawei Li,Boy,Boy,White,Chinese,13.0,87.0,-74.0,1.0,name1_first
DaShawn Washington,Hunter Becker,Boy,Boy,African-American,White,77.0,50.0,27.0,0.5,name1_first
Taohua Li,Tanisha Washington,Girl,Girl,Chinese,African-American,57.0,43.0,14.0,1.0,name1_first
Dawei Li,Taohua Li,Boy,Girl,Chinese,Chinese,61.0,39.0,22.0,1.0,name1_first
DaShawn Washington,Dawei Li,Boy,Boy,African-American,Chinese,83.0,56.0,27.0,0.5,name1_first
Tanisha Washington,Hunter Becker,Girl,Boy,African-American,White,69.0,86.0,-17.0,0.5,name1_first
Tanisha Washington,Claire Becker,Girl,Girl,African-American,White,87.0,13.0,74.0,1.0,name1_first
Claire Becker,Tanisha Washington,Girl,Girl,White,African-American,57.0,43.0,14.0,1.0,name1_first
Hunter Becker,Tanisha Washington,Boy,Girl,White,African-American,89.0,59.0,30.0,0.5,name1_first
DaShawn Washington,Taohua Li,Boy,Girl,African-American,Chinese,70.0,83.0,-13.0,0.5,name1_first
Tanisha Washington,Hunter Becker,Girl,Boy,African-American,White,39.0,61.0,-22.0,1.0,name1_first
DaShawn Washington,Dawei Li,Boy,Boy,African-American,Chinese,26.0,74.0,-48.0,1.0,name1_first
Taohua Li,Tanisha Washington,Girl,Girl,Chinese,African-American,79.0,58.0,21.0,0.5,name1_first
Dawei Li,Taohua Li,Boy,Girl,Chinese,Chinese,62.0,87.0,-25.0,0.5,name1_first
Tanisha Washington,Taohua Li,Girl,Girl,African-American,Chinese,91.0,66.0,25.0,0.5,name1_first
Dawei Li,DaShawn Washington,Boy,Boy,Chinese,African-American,86.0,70.0,16.0,0.5,name1_first
DaShawn Washington,Claire Becker,Boy,Girl,African-American,White,62.0,94.0,-32.0,0.5,name1_first
DaShawn Washington,Taohua Li,Boy,Girl,African-American,Chinese,55.0,45.0,10.0,1.0,name1_first
Claire Becker,Tanisha Washington,Girl,Girl,White,African-American,77.0,59.0,18.0,0.5,name1_first
Tanisha Washington,Claire Becker,Girl,Girl,African-American,White,86.0,67.0,19.0,0.5,name1_first
