Agent_Alpha_payoff,Agent_Beta_payoff,competition_level,consensus_reached,experiment_id,final_round,model_size,random_seed,run_number
26.0,74.0,1.0,True,strong_models_20251119_015608_2335677,10,7,42,1
26.0,74.0,1.0,True,strong_models_20251119_021325_2335677,7,7,43,2
26.0,74.0,1.0,True,strong_models_20251119_022856_2335677,8,7,44,3
18.0,82.0,1.0,True,strong_models_20251119_025318_2335677,4,7,45,4
74.0,26.0,1.0,True,strong_models_20251119_030240_2335677,1,7,46,5
16.0,84.0,1.0,True,strong_models_20251119_015014_2305204,1,3,42,1
26.0,74.0,1.0,True,strong_models_20251119_015127_2305204,1,3,43,2
15.0,85.0,1.0,True,strong_models_20251119_015231_2305204,1,3,44,3
17.0,83.0,1.0,True,strong_models_20251119_015344_2305204,1,3,45,4
24.0,76.0,1.0,True,strong_models_20251119_015449_2305204,1,3,46,5
0,0,1.0,False,strong_models_20251123_174219_2500811,10,32,42,1
21.0,79.0,1.0,True,strong_models_20251123_025233_486154,8,32,43,2
29.0,71.0,1.0,True,strong_models_20251123_154013_662116,2,32,44,3
66.0,34.0,1.0,True,strong_models_20251123_161347_670716,2,32,45,4
14.0,86.0,1.0,True,strong_models_20251123_161347_828052,5,32,46,5
100.0,100.0,0.0,True,strong_models_20251119_015757_2338748,6,14,42,1
100.0,100.0,0.0,True,strong_models_20251119_033148_2338748,3,14,43,2
100.0,100.0,0.0,True,strong_models_20251119_013116_2200722,8,7,42,1
100.0,100.0,0.0,True,strong_models_20251119_014132_2200722,1,7,43,2
100.0,100.0,0.0,True,strong_models_20251119_014249_2200722,1,7,44,3
100.0,89.0,0.0,True,strong_models_20251119_014408_2200722,6,7,45,4
100.0,100.0,0.0,True,strong_models_20251119_015442_2200722,2,7,46,5
100.0,100.0,0.0,True,strong_models_20251119_012538_2166197,1,3,42,1
100.0,100.0,0.0,True,strong_models_20251119_012649_2166197,1,3,43,2
100.0,97.0,0.0,True,strong_models_20251119_012753_2166197,1,3,44,3
100.0,100.0,0.0,True,strong_models_20251119_012859_2166197,1,3,45,4
100.0,99.0,0.0,True,strong_models_20251119_013002_2166197,1,3,46,5
60.0,40.0,1.0,True,strong_models_20251123_023243_2019401,1,72,42,1
0,0,1.0,False,strong_models_20251123_165310_1276212,10,72,43,2
59.0,41.0,1.0,True,strong_models_20251123_164803_3970687,3,72,44,3
66.0,34.0,1.0,True,strong_models_20251123_160056_824542,4,72,45,4
63.0,37.0,1.0,True,strong_models_20251123_161609_3645147,4,72,46,5
52.0,48.0,1.0,True,strong_models_20251123_022913_485154,5,14,42,1
13.0,87.0,1.0,True,strong_models_20251123_174144_1395679,10,14,43,2
28.0,72.0,1.0,True,strong_models_20251123_025121_485154,10,14,44,3
0,0,1.0,False,strong_models_20251123_174144_1395681,10,14,45,4
23.0,77.0,1.0,True,strong_models_20251123_154015_622342,10,14,46,5
