model,model_short,elo
llama-3.2-1b-instruct,Llama 3.2 1B,1111.0
llama-3.2-3b-instruct,Llama 3.2 3B,1167.0
llama-3.1-8b-instruct,Llama 3.1 8B,1212.0
amazon-nova-micro-v1.0,Nova Micro,1241.0
claude-3-haiku-20240307,Claude 3 Haiku,1261.0
command-r-plus-08-2024,Command R+,1277.0
amazon-nova-pro-v1.0,Nova Pro,1290.0
qwen2.5-72b-instruct,Qwen2.5 72B,1303.0
gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0
llama-3.3-70b-instruct,Llama 3.3 70B,1319.0
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0
qwq-32b,QwQ-32B,1336.0
gpt-4o-2024-05-13,GPT-4o,1346.0
deepseek-v3,DeepSeek V3,1359.0
o3-mini-high,o3-mini-high,1364.0
gemma-3-27b-it,Gemma 3 27B,1366.0
claude-sonnet-4-20250514,Sonnet 4,1390.0
claude-haiku-4-5-20251001,Haiku 4.5,1406.0
deepseek-r1-0528,DeepSeek R1-0528,1420.0
qwen3-max-preview,Qwen3 Max,1435.0
gemini-2.5-pro,Gemini 2.5 Pro,1449.0
claude-opus-4-5-20251101,Opus 4.5,1467.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0
gpt-5.4-high,GPT-5.4 High,1485.0
gemini-3-pro,Gemini 3 Pro,1486.0
claude-opus-4-6,Opus 4.6,1503.0
