focal_model,focal_short,focal_elo,focal_tier,alpha,sigma,competition_index,model_order,utilitarian_efficiency,efficiency_loss,efficiency_loss_ratio,provision_rate,coordination_failure_weighted,focal_advantage,focal_exploitation,focal_free_rider,lindahl_distance,fairness_deviation,in_core_float,core_violation_gap,core_l1_distance,focal_adaptation,reference_adaptation,promise_keep_rate,persuasion_other_agent_delta,coalition_persistent_fraction,num_funded,m_projects,final_round
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.0000,0.2000,0.8000,strong_first,0.0000,47.0000,1.0000,0.0000,1.0000,0.0000,,,,,0.0000,47.0000,,0.5556,0.6790,,0.1171,0.0000,0,5,10
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.0000,0.6000,0.4000,strong_first,0.5588,45.0000,0.4412,0.5000,0.4818,87.0000,0.2632,1.5000,23.1301,23.1301,0.0000,61.0000,,0.0000,0.0000,,,0.2000,2,5,1
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.0000,1.0000,0.0000,strong_first,0.4250,69.0000,0.5750,0.6667,0.5750,91.0000,0.0000,2.0000,28.3196,28.3196,0.0000,109.0000,,0.0000,0.0000,,,0.4000,2,5,1
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.5000,0.2000,0.4000,strong_first,0.1667,15.0000,0.8333,0.0000,0.9684,9.9000,3.2000,10.0000,13.4722,13.4722,0.0000,15.0000,,2.0000,0.0000,,0.0000,0.2000,1,5,2
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.5000,0.6000,0.2000,strong_first,0.4000,42.0000,0.6000,0.6667,0.6543,39.0000,0.3171,5.5000,22.4388,22.4388,0.0000,55.0000,,0.0000,0.0000,,,0.0000,2,5,1
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.5000,1.0000,0.0000,strong_first,0.1111,72.0000,0.8889,0.2500,0.8889,37.2600,-0.5065,1.7383,31.6771,31.6771,0.0000,117.0000,,0.0000,0.1750,,0.1579,0.6000,2,5,3
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,1.0000,0.2000,0.0000,strong_first,0.0000,23.0000,1.0000,0.0000,1.0000,0.0000,,,,,0.0000,23.0000,,0.6111,0.9444,1.0000,0.0333,0.2000,0,5,10
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,1.0000,0.6000,0.0000,strong_first,0.3630,86.0000,0.6370,0.3333,0.6222,-11.0000,-0.4286,0.7500,15.3460,15.3460,0.0000,96.0000,,0.0000,0.0000,,,0.2000,2,5,1
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,1.0000,1.0000,0.0000,strong_first,0.7091,32.0000,0.2909,0.5000,0.2909,0.0000,0.0000,1.0000,12.8841,12.8841,0.0000,32.0000,,0.0000,0.0000,,,0.6000,2,5,1
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.0000,0.2000,0.8000,weak_first,0.0000,37.0000,1.0000,0.0000,1.0000,0.0000,,,,,0.0000,37.0000,,0.7475,0.5152,0.0000,0.1333,0.0000,0,5,10
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,Weak,0.0000,0.6000,0.4000,weak_first,0.7143,30.0000,0.2857,0.6667,0.4318,-95.0000,5.0000,0.5000,18.1934,18.1934,0.0000,42.0000,,0.0000,0.0000,,,0.4000,2,5,1
