experiment_dir,pair,model1,model2,order,alpha,sigma,cond_label,run_id,agent_id,model,model_short,pair_short,n_funded,m_projects,projects_funded_rate,funded_cost,total_cost,dollar_coverage,total_spent,total_budget,budget_utilization,social_welfare,utility,own_budget,spend,contrib_frac,contrib_vs_fair_cost,fair_share_budget,fair_share_cost,free_rider_index
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,strong_first,0.0,0.3,"α=0.0, σ=0.3",run_1,Agent_Alpha,claude-opus-4-6,Opus 4.6,GPT-5 Nano vs Opus 4.6,1,5,0.2,12.67,78.5,0.1614012738853503,25.509999999999998,51.03,0.4999020184205369,20.11993667369877,20.11993667369877,25.51,25.509999999999998,0.9999999999999999,0.6499363057324841,25.515,39.25,1.0001959631589261
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,strong_first,0.0,0.3,"α=0.0, σ=0.3",run_1,Agent_Beta,gpt-5-nano,GPT-5 Nano,GPT-5 Nano vs Opus 4.6,1,5,0.2,12.67,78.5,0.1614012738853503,25.509999999999998,51.03,0.4999020184205369,20.11993667369877,4.908161758572068e-23,25.51,0.0,0.0,0.0,25.515,39.25,4.8789037840145156e-24
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,strong_first,1.0,1.0,"α=1.0, σ=1.0",run_1,Agent_Alpha,claude-opus-4-6,Opus 4.6,GPT-5 Nano vs Opus 4.6,1,5,0.2,18.89,96.84,0.19506402313093762,32.04,96.84,0.33085501858736055,43.02733541820852,17.514738209104262,48.42,25.34,0.5233374638579099,0.5233374638579099,48.42,48.42,0.2907839795857986
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,strong_first,1.0,1.0,"α=1.0, σ=1.0",run_1,Agent_Beta,gpt-5-nano,GPT-5 Nano,GPT-5 Nano vs Opus 4.6,1,5,0.2,18.89,96.84,0.19506402313093762,32.04,96.84,0.33085501858736055,43.02733541820852,25.51259720910426,48.42,6.7,0.13837257331681124,0.13837257331681124,48.42,48.42,1.0475059832394802
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,weak_first,0.0,0.3,"α=0.0, σ=0.3",run_1,Agent_Alpha,gpt-5-nano,GPT-5 Nano,GPT-5 Nano vs Opus 4.6,2,5,0.4,35.089999999999996,106.23,0.3303210016003012,50.03,69.06,0.7244425137561541,46.10840440896205,35.54094594545301,34.53,21.97,0.6362583260932522,0.4136308010919702,34.53,53.115,0.9053671715153768
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,weak_first,0.0,0.3,"α=0.0, σ=0.3",run_1,Agent_Beta,claude-opus-4-6,Opus 4.6,GPT-5 Nano vs Opus 4.6,2,5,0.4,35.089999999999996,106.23,0.3303210016003012,50.03,69.06,0.7244425137561541,46.10840440896205,10.56745846350904,34.53,28.06,0.8126267014190558,0.5282876776805046,34.53,53.115,-0.3542521990276848
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,weak_first,1.0,1.0,"α=1.0, σ=1.0",run_1,Agent_Alpha,gpt-5-nano,GPT-5 Nano,GPT-5 Nano vs Opus 4.6,2,5,0.4,29.29,98.09,0.29860332347843815,78.33,98.08,0.7986337683523654,87.4950174587622,34.86000872938111,49.04,49.04,1.0,0.9998980528086451,49.04,49.045,-0.20315442543202678
experiments/results/cofunding_20260316_071259,gpt-5-nano_vs_claude-opus-4-6,gpt-5-nano,claude-opus-4-6,weak_first,1.0,1.0,"α=1.0, σ=1.0",run_1,Agent_Beta,claude-opus-4-6,Opus 4.6,GPT-5 Nano vs Opus 4.6,2,5,0.4,29.29,98.09,0.29860332347843815,78.33,98.08,0.7986337683523654,87.4950174587622,52.6350087293811,49.04,29.29,0.5972675367047309,0.5972066469568763,49.04,49.045,0.6058868887272959
experiments/results/cofunding_20260316_071418,gpt-5-nano_vs_gpt-5-nano,gpt-5-nano,gpt-5-nano,strong_first,0.0,0.3,"α=0.0, σ=0.3",run_1,Agent_Alpha,gpt-5-nano,GPT-5 Nano,GPT-5 Nano vs GPT-5 Nano,2,5,0.4,24.97,78.5,0.3180891719745223,37.66,51.03,0.737997256515775,60.010675410964225,20.11993667369877,25.51,23.759999999999998,0.9313994511956094,0.6053503184713376,25.515,39.25,-0.2606716811955403
experiments/results/cofunding_20260316_071418,gpt-5-nano_vs_gpt-5-nano,gpt-5-nano,gpt-5-nano,strong_first,0.0,0.3,"α=0.0, σ=0.3",run_1,Agent_Beta,gpt-5-nano,GPT-5 Nano,GPT-5 Nano vs GPT-5 Nano,2,5,0.4,24.97,78.5,0.3180891719745223,37.66,51.03,0.737997256515775,60.010675410964225,39.89073873726546,25.51,13.9,0.5448843590748725,0.35414012738853506,25.515,39.25,0.7846771681639902
