focal_model,focal_elo,focal_short,reference_model,reference_elo,model_order,run_id,alpha,sigma,competition_index,focal_utility,reference_utility,social_welfare,focal_advantage,consensus_reached,final_round
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,-15.0,72.0,57.0,-87.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,-15.0,72.0,57.0,-87.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,-40.0,51.0,11.0,-91.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,-40.0,51.0,11.0,-91.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,-3.6,6.3,2.6999999999999997,-9.9,1.0,2
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,-3.6,6.3,2.6999999999999997,-9.9,1.0,2
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,-12.0,27.0,15.0,-39.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,-12.0,27.0,15.0,-39.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,-33.21,4.050000000000001,-29.16,-37.260000000000005,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,-33.21,4.050000000000001,-29.16,-37.260000000000005,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,25.0,14.0,39.0,11.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,25.0,14.0,39.0,11.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,39.0,39.0,78.0,0.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,39.0,39.0,78.0,0.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,-12.0,83.0,71.0,-95.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,-12.0,83.0,71.0,-95.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,-17.0,67.0,50.0,-84.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,-17.0,67.0,50.0,-84.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,-2.0,23.0,21.0,-25.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,-2.0,23.0,21.0,-25.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,-6.48,28.35,21.87,-34.83,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,-6.48,28.35,21.87,-34.83,1.0,3
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,18.0,39.0,57.0,-21.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,18.0,39.0,57.0,-21.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,15.0,15.0,30.0,0.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,15.0,15.0,30.0,0.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,49.0,44.0,93.0,5.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,49.0,44.0,93.0,5.0,1.0,1
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-micro-v1.0,1220,Nova Micro,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,-4.0,31.0,27.0,-35.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,-4.0,31.0,27.0,-35.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,38.7,22.5,61.2,16.200000000000003,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,38.7,22.5,61.2,16.200000000000003,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,65.0,47.0,112.0,18.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,65.0,47.0,112.0,18.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,8.85735,15.943230000000002,24.800580000000004,-7.085880000000001,1.0,6
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,8.85735,15.943230000000002,24.800580000000004,-7.085880000000001,1.0,6
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,45.0,38.0,83.0,7.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,45.0,38.0,83.0,7.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,68.0,10.0,78.0,58.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,68.0,10.0,78.0,58.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,42.0,32.0,74.0,10.0,1.0,1
