experiment_id,experiment_type,model_alpha,model_beta,model_alpha_short,model_beta_short,model_order,rho,theta,n_issues,consensus,final_round,exploitation,alpha_util,beta_util,social_welfare,util_ratio,token_budget,model_pair,adversary_model,adversary_short,adversary_elo
0,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.0,5,True,10,True,0.3748814399480537,0.2360648801651189,0.6109463201131726,1.5880440990876643,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
1,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.0,5,True,7,True,0.2817112928637229,0.49661465945434646,0.7783259523180693,0.56726334493076,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
2,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.0,5,True,10,True,0.05342694372465105,0.38495785168259977,0.43838479540725084,0.13878647621065257,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
3,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
4,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.0,5,True,1,True,0.8616747701455988,0.9334564908978873,1.795131261043486,0.9231011606301628,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
5,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.0,5,True,10,True,0.37053026312460385,0.15427717257684873,0.5248074357014526,2.40171800491116,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
6,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.25,5,True,10,True,0.15930405968328742,0.3721665687197613,0.5314706284030487,0.4280450558234913,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
7,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
8,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.25,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
9,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.25,5,True,10,True,0.38126361500679196,0.34224649453783024,0.7235101095446221,1.114002980575887,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
